time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-24 17:37:25.300,"[1.9492441415786743, 7.286972999572754, 2.164770126342773]","[0.724714994430542, 0.2837179899215698, 0.4654119908809662, 0.4215230047702789, -0.8205758929252625, -0.9333078265190125, -2.5194027423858643]","[-18.875, -47.0, 0.125]","[0.5378232002258301, 0.2700198888778686, 0.1355771720409393]","[-51.375, -17.5, 57.8125]","[0.5252000093460083, -1.935499906539917, 0.6509000062942505]","[-0.1176875531673431, -0.5753652453422546, -0.1587202399969101]","[3.9661998748779297, 7.917599678039551, 4.213099956512451]",,
2024-02-24 17:37:25.400,"[3.0388166904449463, 7.74703311920166, 2.7529776096343994]","[0.7331979870796204, 0.2953499853610992, 0.4599629938602447, 0.4045020043849945, -0.824930727481842, -0.9360327124595642, -2.5686516761779785]","[-18.3125, -47.5625, -0.4375]","[0.2220931500196457, 0.3849149048328399, 0.197553813457489]","[-50.8125, -18.0625, 57.25]","[1.372399926185608, 0.5651999711990356, 1.740399956703186]","[-0.0481187291443347, 0.1889144331216812, 0.2741214036941528]","[3.9328999519348153, 7.897899627685547, 4.280799865722656]",,
2024-02-24 17:37:25.500,"[3.0128347873687744, 6.854570865631104, 2.603081464767456]","[0.7360349893569946, 0.2951200008392334, 0.4563789963722229, 0.4035750031471252, -0.8143046498298645, -0.9319826364517212, -2.5656683444976807]","[-17.25, -47.3125, -0.0625]","[0.0828682333230972, -0.1589122265577316, -0.2634050846099853]","[-49.75, -17.8125, 57.625]","[0.599299967288971, -0.3635999858379364, -0.123599998652935]","[-0.2190039157867431, -0.0847531855106353, -0.141650915145874]","[3.9900999069213854, 7.895199775695801, 4.232500076293945]",,
2024-02-24 17:37:25.600,"[4.016963005065918, 8.01032829284668, 4.284289836883545]","[0.7355830073356628, 0.2867900133132934, 0.4579440057277679, 0.4086009860038757, -0.8125929236412048, -0.9209030866622924, -2.548008680343628]","[-18.25, -46.875, 0.1875]","[-0.0548207908868789, -0.1640260368585586, -0.1248259469866752]","[-50.75, -17.375, 57.875]","[-0.4657999873161316, 0.2131999880075454, -0.3414999842643738]","[-0.0034906584769487, -0.0500385910272598, -0.1480562835931778]","[4.064799785614014, 7.818399906158447, 4.303400039672852]",,
2024-02-24 17:37:25.700,"[5.848680019378662, 8.487521171569824, 4.498513698577881]","[0.7337939739227295, 0.2810119986534118, 0.4618009924888611, 0.4114809930324554, -0.8212606310844421, -0.91482275724411, -2.5416901111602783]","[-18.6875, -46.5, 0.625]","[0.1030267849564552, -0.1139176413416862, -0.0193033423274755]","[-51.1875, -17.0, 58.3125]","[0.291700005531311, 0.2631999850273132, 0.140299990773201]","[0.0313635654747486, -0.0644026473164558, -0.0522726103663444]","[4.10159969329834, 7.77810001373291, 4.34119987487793]",,
2024-02-24 17:37:25.800,"[3.1980884075164795, 8.145610809326172, 4.658695220947266]","[0.7279940247535706, 0.2783569991588592, 0.4675450026988983, 0.4170629978179931, -0.8329071402549744, -0.9194625616073608, -2.532289743423462]","[-18.6875, -46.8125, 0.0625]","[-0.1474628746509552, -0.1798561811447143, -0.0423242338001728]","[-51.1875, -17.3125, 57.75]","[0.6983999609947205, 0.2427999973297119, 0.1225999966263771]","[-0.0973893702030181, -0.1338667571544647, -0.0185703039169311]","[4.028299808502197, 7.778899669647217, 4.407899856567383]",,
2024-02-24 17:37:25.900,"[4.49725866317749, 5.906686782836914, 5.125296592712402]","[0.7182700037956238, 0.2855350077152252, 0.4765560030937195, 0.4188680052757263, -0.8609204888343811, -0.9431477189064026, -2.545725584030152]","[-18.375, -46.6875, 0.0]","[-0.0541401132941246, -0.183730810880661, 0.1824043542146682]","[-50.875, -17.1875, 57.6875]","[2.2077999114990234, 5.291199684143066, -0.2708999812602997]","[-0.0875457152724266, -0.3620685636997223, 0.4228758215904236]","[3.754499912261963, 7.908499717712402, 4.419099807739258]",,
2024-02-24 17:37:26.000,"[5.252189159393311, 7.9367594718933105, 5.827678680419922]","[0.7111070156097412, 0.2955810129642486, 0.4845989942550659, 0.4148750007152557, -0.895457923412323, -0.965749442577362, -2.5786283016204834]","[-16.6875, -46.9375, -0.4375]","[-0.2376789301633834, -0.1354375481605529, 0.3310540616512298]","[-49.1875, -17.4375, 57.25]","[-0.0788000002503395, 0.1255999952554702, -0.5080999732017517]","[-0.230941966176033, 0.0151669112965464, 0.2474876940250396]","[3.5504000186920166, 8.03339958190918, 4.362100124359131]",,
2024-02-24 17:37:26.100,"[3.211400032043457, 8.486401557922363, 4.604777812957764]","[0.7037090063095093, 0.3030659854412079, 0.4946720004081726, 0.410174012184143, -0.9399853348731996, -0.9833228588104248, -2.6173229217529297]","[-15.75, -47.6875, 0.25]","[0.0267733503133058, -0.1043532341718673, 0.2316401004791259]","[-48.25, -18.1875, 57.9375]","[0.5393999814987183, 0.2520000040531158, -0.2549999952316284]","[0.0563392266631126, -0.1129577085375785, 0.2670353651046753]","[3.2753000259399414, 8.132599830627441, 4.393399715423584]",,
2024-02-24 17:37:26.200,"[3.574140787124634, 8.492692947387695, 4.19339656829834]","[0.6966720223426819, 0.3139800131320953, 0.5041000247001648, 0.4024249911308288, -0.9908202290534972, -1.0032212734222412, -2.6701366901397705]","[-14.125, -47.9375, 0.0625]","[-0.0400553047657012, -0.1359262466430664, 0.3825412690639496]","[-46.625, -18.4375, 57.75]","[-1.0332999229431152, 0.7935000061988831, -0.526699960231781]","[0.0747175440192222, -0.1427679359912872, 0.3239505589008331]","[2.9456000328063965, 8.238299369812012, 4.429699897766113]",,
