time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-02-24 17:09:12.500,"[1.869651198387146, 8.09424114227295, 4.291606426239014]","[-0.0043770000338554, -0.2172359973192215, 0.6019169688224792, 0.7684299945831299, -1.0672913789749146, -1.18623685836792, -0.7466273307800293]","[-26.1875, -31.25, -20.0]","[0.1664694994688034, -0.4423536956310272, 0.2371727973222732]","[-59.0, -3.625, 37.3125]","[0.6886000037193298, 0.2158999890089035, 0.3382999897003174]","[-0.1341111063957214, -0.3676536083221435, 0.2010095715522766]","[1.772699952125549, 9.080699920654297, 3.2507998943328857]",,,snowplow,beginner,blue
2024-02-24 17:09:12.600,"[-0.2811079919338226, 11.48819351196289, 1.5283339023590088]","[-0.0171770006418228, -0.2336699962615966, 0.6075659990310669, 0.7589240074157715, -1.1421966552734375, -1.1950128078460691, -0.7790992856025696]","[-24.8125, -31.9375, -19.6875]","[0.1034107580780983, -0.0851895213127136, 0.1658935397863388]","[-57.625, -4.3125, 37.625]","[0.0031999999191612, 0.7896999716758728, 0.310399979352951]","[0.1882162988185882, 0.0635125339031219, 0.2784672677516937]","[1.5657999515533447, 9.10509967803955, 3.2884998321533203]",,,snowplow,beginner,blue
2024-02-24 17:09:12.700,"[-0.1857613176107406, 8.411951065063477, 4.103307247161865]","[-0.0126539999619126, -0.2368070036172866, 0.6174759864807129, 0.7499899864196777, -1.2173296213150024, -1.200429916381836, -0.8564468622207642]","[-23.75, -33.4375, -19.75]","[0.2982418537139892, 0.2149547487497329, 0.2315877377986908]","[-56.5625, -5.8125, 37.5625]","[0.0848999992012977, -0.8560000061988831, 0.4396999776363373]","[-0.1025729998946189, 0.024155355989933, -0.0238586515188217]","[1.2781000137329102, 9.132800102233888, 3.3357999324798584]",,,snowplow,beginner,blue
2024-02-24 17:09:12.800,"[1.5102624893188477, 7.972452163696289, 4.416986465454102]","[-0.0040719998069107, -0.2362000048160553, 0.6232290267944336, 0.7455049753189087, -1.2597402334213257, -1.197593331336975, -0.9121952056884766]","[-23.375, -32.9375, -21.0625]","[0.0456927195191383, -0.124372161924839, 0.0406138114631176]","[-56.1875, -5.3125, 36.25]","[0.5333999991416931, -1.5866999626159668, 1.5989999771118164]","[0.1810081005096435, 0.1341634541749954, 0.1667138487100601]","[1.0943999290466309, 9.157400131225586, 3.333699941635132]",,,snowplow,beginner,blue
2024-02-24 17:09:12.900,"[3.0264816284179688, 8.948712348937988, 2.463671922683716]","[0.0049350000917911, -0.2400539964437484, 0.6254500150680542, 0.7424020171165466, -1.295633316040039, -1.1844749450683594, -0.9551823139190674]","[-23.875, -32.9375, -20.8125]","[-0.2122844010591507, -0.3650006949901581, -0.2199114859104156]","[-56.6875, -5.3125, 36.5]","[-0.5795999765396118, -0.4902999997138977, 0.8783999681472778]","[-0.143448606133461, -0.3254689872264862, -0.1665742248296737]","[1.020900011062622, 9.071100234985352, 3.5834999084472656]",,,snowplow,beginner,blue
2024-02-24 17:09:13.000,"[-0.5522369742393494, -0.4829104840755462, 7.886557579040527]","[-0.0133429998531937, -0.2400719970464706, 0.6239950060844421, 0.7435159683227539, -1.2688908576965332, -1.206310153007507, -0.9024264812469482]","[-23.125, -32.125, -21.0]","[-1.0771822929382324, -1.0110867023468018, -1.0022379159927368]","[-55.9375, -4.5, 36.3125]","[3.438199996948242, 5.1138997077941895, -2.896699905395508]","[0.0039269910193979, -0.7787309885025024, -0.4060857594013214]","[1.0236999988555908, 9.135000228881836, 3.416399955749512]",,,snowplow,beginner,blue
2024-02-24 17:09:13.100,"[-4.248233318328857, 7.2639312744140625, 7.326879978179932]","[-0.0450149998068809, -0.2454060018062591, 0.6102120280265808, 0.7519239783287048, -1.1653311252593994, -1.2219276428222656, -0.7452027797698975]","[-24.0625, -31.3125, -21.375]","[-0.0762708857655525, -0.2954842448234558, -0.3618940114974975]","[-56.875, -3.6875, 35.9375]","[2.0174999237060547, 6.414499759674072, 2.3569998741149902]","[0.7710864543914795, -0.2588148713111877, -0.1962971836328506]","[1.2283999919891355, 9.148599624633787, 3.311199903488159]",,,snowplow,beginner,blue
2024-02-24 17:09:13.200,"[1.350655436515808, 8.60084342956543, 0.9394943118095398]","[-0.0389069989323616, -0.2582350075244903, 0.5991430282592773, 0.7568539977073669, -1.1631102561950684, -1.1863917112350464, -0.7316666841506958]","[-24.625, -30.6875, -21.6875]","[-0.1582839041948318, -0.1986882835626602, -0.0483281649649143]","[-57.4375, -3.0625, 35.625]","[2.16159987449646, 2.213000059127808, -0.7404999732971191]","[0.0541226603090763, -0.0776496976613998, 0.2502453029155731]","[1.417699933052063, 9.074399948120115, 3.437299966812134]",,,snowplow,beginner,blue
2024-02-24 17:09:13.300,"[1.786888599395752, 9.610795021057127, 4.008449077606201]","[-0.0502570010721683, -0.2642120122909546, 0.5996050238609314, 0.7537500262260437, -1.174782156944275, -1.1956708431243896, -0.7181607484817505]","[-23.8125, -31.5625, -21.375]","[-0.0868301317095756, -0.1708677262067794, 0.2354274690151214]","[-56.625, -3.9375, 35.9375]","[-2.061800003051758, 1.296199917793274, 0.4888999760150909]","[-0.2454631030559539, -0.2663547098636627, 0.1230631619691848]","[1.424399971961975, 9.11829948425293, 3.315999984741211]",,,snowplow,beginner,blue
2024-02-24 17:09:13.400,"[0.6709606051445007, 9.118441581726074, 1.1543786525726318]","[-0.0608050003647804, -0.2669630050659179, 0.6070330142974854, 0.7460179924964905, -1.215280055999756, -1.217335820198059, -0.7399505376815796]","[-23.125, -32.8125, -20.875]","[0.2464928478002548, 0.0679631233215332, 0.0916821435093879]","[-55.9375, -5.1875, 36.4375]","[0.3833999931812286, -0.9004999995231628, 2.365299940109253]","[-0.0513301342725753, -0.1669930964708328, 0.1900663524866104]","[1.2444000244140625, 9.17739963531494, 3.2243998050689697]",,,snowplow,beginner,blue
2024-02-24 17:09:13.500,"[1.3065253496170044, 6.636889934539795, 5.699722766876221]","[-0.0624639987945556, -0.2622939944267273, 0.6152909994125366, 0.7407540082931519, -1.2452112436294556, -1.2355412244796753, -0.7750879526138306]","[-22.0, -32.1875, -21.875]","[-0.1394692659378051, -0.2376789301633834, -0.1976585388183593]","[-54.8125, -4.5625, 35.4375]","[0.1882999986410141, 0.8506999611854553, 1.7746999263763428]","[0.0980002358555793, -0.2495471686124801, 0.0254119932651519]","[1.056999921798706, 9.269700050354004, 3.020699977874756]",,,snowplow,beginner,blue
2024-02-24 17:09:13.600,"[2.0133321285247803, 9.052409172058104, 4.02852201461792]","[-0.062789000570774, -0.2593050003051758, 0.617464005947113, 0.7399699687957764, -1.2463258504867554, -1.2418172359466553, -0.7803807854652405]","[-22.5, -33.0625, -21.4375]","[-0.301715075969696, 0.0867079570889473, -0.0121998516842722]","[-55.3125, -5.4375, 35.875]","[1.6208000183105469, 4.033199787139893, 0.1987999975681305]","[-0.0398109592497348, 0.1245292425155639, -0.0907222107052803]","[0.9975000023841858, 9.25469970703125, 3.0862998962402344]",right,STOP,snowplow,beginner,blue
2024-02-24 17:09:13.700,"[1.62436044216156, 8.598986625671387, 0.4575989544391632]","[-0.0575219988822937, -0.2502889931201935, 0.6191840171813965, 0.742061972618103, -1.225678324699402, -1.246076226234436, -0.7809107899665833]","[-23.4375, -32.9375, -20.5]","[0.3558202683925628, -0.0586954243481159, -0.2769488394260406]","[-56.25, -5.3125, 36.8125]","[1.0055999755859375, -0.7027999758720398, 0.6820999979972839]","[0.3575656116008758, 0.4088433682918548, -0.1056796833872795]","[1.0340999364852903, 9.283699989318848, 2.985499858856201]",left,START,snowplow,beginner,blue
2024-02-24 17:09:13.800,"[-1.2421214580535889, 8.046165466308594, 2.0034775733947754]","[-0.0432250015437603, -0.2485020011663437, 0.6130589842796326, 0.7486889958381653, -1.1979589462280271, -1.2210627794265747, -0.7758803963661194]","[-24.375, -31.875, -21.0625]","[0.2157750576734542, -0.4765621423721313, -0.3285931348800659]","[-57.1875, -4.25, 36.25]","[-0.1968999952077865, 0.5273000001907349, 0.979599952697754]","[0.2737723588943481, 0.064856432378292, -0.0228987205773592]","[1.167699933052063, 9.239999771118164, 3.0703999996185303]",,,snowplow,beginner,blue
2024-02-24 17:09:13.900,"[1.952998161315918, 10.247288703918455, 0.6391273736953735]","[-0.037246998399496, -0.2522409856319427, 0.60350501537323, 0.7554910182952881, -1.1653071641921997, -1.196255445480347, -0.7455503940582275]","[-24.75, -31.8125, -21.3125]","[0.1660506278276443, 0.0476649403572082, 0.0542448312044143]","[-57.5625, -4.1875, 36.0]","[1.7274999618530271, 1.5002999305725098, 2.136199951171875]","[0.0534419827163219, 0.2877698838710785, 0.246580109000206]","[1.3712999820709229, 9.130000114440918, 3.3063998222351074]",,,snowplow,beginner,blue
2024-02-24 17:09:14.000,"[2.2846813201904297, 11.231650352478027, 3.3355157375335693]","[-0.0345479995012283, -0.2517269849777221, 0.6058819890022278, 0.7538869976997375, -1.1801007986068726, -1.1969414949417114, -0.7650980949401855]","[-24.0625, -31.6875, -20.5625]","[0.0861494541168212, 0.0625176951289177, 0.2633701860904693]","[-56.875, -4.0625, 36.75]","[-2.8417999744415283, 0.6769999861717224, 2.299799919128418]","[0.1324181258678436, -0.1265363693237304, 0.2143787890672683]","[1.3708000183105469, 9.100099563598633, 3.387899875640869]",,,snowplow,beginner,blue
2024-02-24 17:09:14.100,"[2.062058925628662, 8.587944030761719, 3.1376969814300537]","[-0.0358439981937408, -0.2482469975948333, 0.61245197057724, 0.7496600151062012, -1.2028684616088867, -1.2112537622451782, -0.7916314005851746]","[-23.3125, -32.3125, -21.0]","[-0.2209063172340393, -0.2321636974811554, -0.0177849046885967]","[-56.125, -4.6875, 36.3125]","[-1.8506999015808103, 0.6820999979972839, 2.6064999103546143]","[-0.0613657757639884, -0.1599419713020324, 0.0796917304396629]","[1.2623000144958496, 9.173500061035156, 3.228299856185913]",,,snowplow,beginner,blue
2024-02-24 17:09:14.200,"[0.6040188074111938, 10.14274787902832, 5.326083660125732]","[-0.0447760000824928, -0.2503800094127655, 0.6161249876022339, 0.7454479932785034, -1.2227990627288818, -1.2255741357803345, -0.7958548665046692]","[-22.3125, -32.5, -21.875]","[-0.2811201810836792, -0.2996730208396911, 0.1076519042253494]","[-55.125, -4.875, 35.4375]","[1.8193999528884888, 0.0238999985158443, -0.7113999724388123]","[-0.354092389345169, -0.1694191098213195, 0.0689754113554954]","[1.181299924850464, 9.223699569702148, 3.1140999794006348]",,,snowplow,beginner,blue
