TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[0.9777441024780272, 8.365761756896973, -4.762948036193848]","[-0.0571530014276504, 0.4099699854850769, 0.2485480010509491, 0.8757169842720032, 0.9442580342292786, -0.3989525437355041, 0.3360847532749176]","[-35.6875, -0.875, 30.25]","[0.5253092050552368, 0.5408775210380554, -0.623937726020813]","[-220.125, -49.375, -20.3125]","[-4.327600002288818, 4.545799732208252, 2.5638999938964844]","[0.0223751217126846, 0.0822399109601974, -0.6154903769493103]","[5.298399925231934, 3.8093998432159424, -7.320099830627441]",,,
"[2.389624118804932, 16.725357055664062, -6.504452228546143]","[-0.0278580002486705, 0.4209839999675751, 0.2203660011291504, 0.8794509768486023, 0.941157877445221, -0.3727163672447204, 0.2545717358589172]","[-34.5625, 0.5, 30.75]","[-0.0774751678109169, 0.4205719828605652, -0.8587194681167603]","[-219.125, -47.75, -19.5]","[-2.9951000213623047, 13.149199485778809, 0.8800999522209167]","[0.5431813597679138, 0.4246385991573334, -0.4152661859989166]","[5.378099918365479, 3.57099986076355, -7.381899833679199]",,,
"[-1.528889298439026, 14.340531349182127, -7.686124801635742]","[0.0273049995303154, 0.432110995054245, 0.2116699963808059, 0.8762009739875793, 0.9467138051986694, -0.4055546522140503, 0.1475397497415542]","[-32.5625, -0.75, 33.1875]","[0.980787754058838, 0.6141988039016724, -0.8560839891433716]","[-217.1875, -49.125, -17.5625]","[-6.785699844360352, 10.458399772644045, -0.3659999966621399]","[0.7461631298065186, 0.7402290105819702, -0.2216044515371322]","[5.265599727630615, 3.86899995803833, -7.3125]",,,"[45.0, 1.5, 24.61834526062012, 12.194000244140623, 11.40137767791748, 96.90474700927734, 2278.2170781595632, 6.6625868, 44.5686739]"
"[-1.8031307458877563, 10.652626991271973, -8.245870590209961]","[0.0558979995548725, 0.4498560130596161, 0.2080439925193786, 0.8667299747467041, 0.9788431525230408, -0.4234717786312103, 0.0991929098963737]","[-31.125, -1.625, 34.0625]","[0.4427551329135895, 0.2756921947002411, -0.2855184078216553]","[-215.875, -50.0, -16.5]","[-6.78309965133667, 6.610300064086914, -0.8183000087738037]","[0.4028045237064361, 0.4014257192611694, -0.5493772625923157]","[4.988499641418457, 4.029799938201904, -7.41919994354248]",,,
"[-1.7482460737228394, 6.746553897857666, -6.953700065612793]","[0.080496996641159, 0.4643000066280365, 0.2049479931592941, 0.8578699827194214, 1.0050913095474243, -0.4404946565628052, 0.0577440150082111]","[-29.25, -1.8125, 35.5625]","[0.2509434521198272, 0.5654517412185669, -0.14273302257061]","[-213.75, -50.3125, -14.875]","[-6.4903998374938965, 2.555699825286865, 0.5453999638557434]","[0.2856231331825256, 0.3301988542079925, -0.3227637410163879]","[4.7546000480651855, 4.181399822235107, -7.488499641418457]",,,
"[-0.6114407777786255, 12.425820350646973, -9.57040023803711]","[0.1030189990997314, 0.4754199981689453, 0.1946569979190826, 0.8517450094223022, 1.020587682723999, -0.443995326757431, 0.0106263076886534]","[-28.4375, -1.6875, 36.3125]","[0.1309695094823837, 0.1661378890275955, -0.6233268976211548]","[-213.0, -50.0, -14.0625]","[-5.228499889373779, 8.202699661254883, -2.01259994506836]","[-0.0923802778124809, 0.0826587900519371, -0.3597297966480255]","[4.630300045013428, 4.212399959564209, -7.548799991607666]",,,
"[-2.374013662338257, 11.004948616027832, -12.165091514587402]","[0.1324920058250427, 0.4743790030479431, 0.1707230061292648, 0.8533830046653748, 0.99924898147583, -0.4302379488945007, -0.0706500336527824]","[-27.6875, -0.8125, 36.9375]","[0.7070328593254089, 0.2763554453849792, -1.02791166305542]","[-212.125, -49.5625, -13.4375]","[-7.184599876403809, 6.912799835205078, -4.66379976272583]","[0.3657861053943634, 0.4978726208209991, -0.6916390657424927]","[4.821199893951416, 4.090199947357178, -7.496299743652344]",,,
"[-2.220085620880127, 11.553153038024902, -7.774509429931641]","[0.1634580045938491, 0.4792070090770721, 0.1486770063638687, 0.8494330048561096, 0.9954004287719728, -0.4216239750385284, -0.1487231701612472]","[-26.1875, -0.8125, 37.75]","[0.3062180280685425, 0.1077217236161232, -0.6717073917388916]","[-210.625, -49.375, -12.8125]","[-7.075599670410156, 7.529099941253662, -0.25]","[0.8278270959854126, 0.1843067705631256, -1.034421682357788]","[4.869100093841553, 4.013299942016602, -7.506999969482422]",,,
"[-1.2705357074737549, 10.175328254699709, -8.834834098815918]","[0.2223690003156662, 0.4754390120506286, 0.1275739967823028, 0.8415660262107849, 0.9646685123443604, -0.4402544796466827, -0.2834130525588989]","[-25.5625, -2.1875, 38.125]","[0.669857382774353, 0.3114888966083526, -0.7795163989067078]","[-210.0, -50.9375, -12.375]","[-6.309199810028076, 5.990099906921387, -1.5347999334335327]","[0.3328168392181396, 0.3362376689910888, -0.7144680023193359]","[5.053899765014648, 4.179299831390381, -7.291100025177002]",,,
"[1.126289963722229, 12.24074935913086, -8.198676109313965]","[0.2627590000629425, 0.4757060110569, 0.1117919981479644, 0.8319630026817322, 0.951459527015686, -0.4511554539203644, -0.3764652609825134]","[-24.4375, -2.6875, 39.0]","[0.6010390520095825, 0.2091602534055709, -0.5264261960983276]","[-208.75, -51.25, -11.25]","[-4.005099773406982, 7.962899684906006, -1.0023000240325928]","[0.7646287679672241, 0.3098308444023132, -0.7594974637031555]","[5.1230998039245605, 4.275700092315674, -7.18619966506958]",,,
"[-0.5763609409332275, 12.543911933898926, -7.382530689239502]","[0.3036800026893616, 0.4805650115013122, 0.0955990031361579, 0.8171259760856628, 0.9502416849136353, -0.4646487534046173, -0.4694178402423858]","[-22.75, -3.25, 40.125]","[0.6036744713783264, 0.328226625919342, -0.5133362412452698]","[-207.5625, -51.6875, -10.5]","[-5.666599750518799, 8.138400077819824, -0.2322999984025955]","[0.4415682852268219, 0.4594055712223053, -0.6658256649971008]","[5.097799777984619, 4.394400119781494, -7.132299900054932]",,,
"[0.4047062695026397, 10.317399978637695, -6.261727809906006]","[0.3286460041999817, 0.4860399961471557, 0.0761699974536895, 0.8061969876289368, 0.9578862190246582, -0.4581462144851684, -0.5331871509552002]","[-21.875, -4.25, 40.125]","[0.0864985138177871, 0.3002315461635589, -0.4921653866767883]","[-206.5625, -52.5625, -10.25]","[-4.657399654388428, 5.969399929046631, 0.9474999904632568]","[0.3935019373893738, 0.3749316334724426, -0.3626968562602997]","[5.0594000816345215, 4.337299823760986, -7.194299697875977]",,,
"[-0.474818080663681, 4.758054733276367, -8.389761924743652]","[0.3607589900493622, 0.4947429895401001, 0.0665899962186813, 0.7878109812736511, 0.969720184803009, -0.4801211357116699, -0.6023609638214111]","[-19.75, -5.75, 40.9375]","[0.7023030519485474, 0.4360705018043518, -0.3349286913871765]","[-204.5, -53.8125, -9.625]","[-5.379799842834473, 0.2167999893426895, -1.2111999988555908]","[0.9213767647743224, 0.5901481509208679, -0.3878296017646789]","[4.918900012969971, 4.5295000076293945, -7.173399925231934]",left,STOP,"[45.0, 1.5, 20.758628845214844, 11.843999862670898, 10.93504810333252, 94.04460906982422, 2277.3164789760485, 6.6627165, 44.568681]"
