TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[4.737329959869385, 10.528233528137209, 1.879017353057861]","[0.7070099711418152, 0.5330590009689331, 0.4273630082607269, 0.1826030015945434, -1.4100514650344849, -1.1428780555725098, 2.645796298980713]","[13.6875, -42.3125, 0.875]","[-0.0952426195144653, 0.1464156657457351, 0.2323556840419769]","[-34.625, -59.125, 34.5625]","[1.878699898719788, -4.048500061035156, -2.526399850845337]","[0.203313410282135, 0.2194402515888214, 0.5074195861816406]","[0.6513000130653381, 8.922399520874023, 4.0169997215271]",,,
"[-1.4254406690597534, 26.28836250305176, 6.609480857849121]","[0.7058230042457581, 0.53889399766922, 0.4324060082435608, 0.1563010066747665, -1.4687933921813965, -1.1104497909545898, 2.556364059448242]","[14.0625, -41.8125, -1.75]","[0.4175525605678558, 0.2297900468111038, -0.512603223323822]","[-34.25, -58.625, 31.9375]","[2.4493000507354736, 0.5990999937057495, 2.5795998573303223]","[0.3436902463436126, -0.3384717106819153, -0.4641877710819244]","[0.4435999989509582, 8.785699844360352, 4.334000110626221]",,,
"[7.208366870880127, 16.307931900024414, 2.187572479248047]","[0.7143020033836365, 0.5251960158348083, 0.4359729886054992, 0.1544909924268722, -1.4237971305847168, -1.086504578590393, 2.606926202774048]","[12.6875, -42.5, -1.3125]","[-0.9951692819595336, 0.1240580007433891, -0.110584057867527]","[-35.625, -59.3125, 32.375]","[4.195300102233887, 7.609799861907959, 2.495199918746948]","[-0.8659800291061401, 0.2975611686706543, -0.0326725617051124]","[0.6686999797821045, 8.678899765014648, 4.516499996185303]",,,
"[-0.4426687359809875, 7.403857707977295, 5.53352689743042]","[0.7138019800186157, 0.5391589999198914, 0.4084250032901764, 0.1816100031137466, -1.3547354936599731, -1.1631429195404053, 2.66706919670105]","[11.875, -42.4375, 1.1875]","[0.6275854706764221, 0.571455717086792, 0.1725607067346573]","[-36.4375, -59.25, 34.875]","[-5.089499950408936, -8.404799461364746, -0.7378000020980835]","[0.3736924529075622, 0.6641850471496582, -0.1981472223997116]","[0.8333999514579773, 9.002999305725098, 3.7973999977111816]",,,
"[2.324214458465576, 13.585476875305176, 4.11421537399292]","[0.7186179757118225, 0.5461869835853577, 0.4052079916000366, 0.1451659947633743, -1.3957040309906006, -1.125874638557434, 2.56674861907959]","[14.8125, -41.6875, -1.625]","[-0.6050707697868347, 0.3809879124164581, 0.2522698938846588]","[-33.5, -58.5, 32.0625]","[2.1087000370025635, -3.016899824142456, 3.895099878311157]","[-0.2612234354019165, 0.380185067653656, 0.234258085489273]","[0.7351999878883362, 8.851900100708008, 4.156099796295166]",,,
"[3.659565925598145, 7.036443710327148, 3.067412853240967]","[0.7241569757461548, 0.5626199841499329, 0.3742760121822357, 0.1377380043268203, -1.3503199815750122, -1.1628926992416382, 2.5486650466918945]","[14.6875, -41.5, -2.125]","[0.7384138703346252, 0.9451655745506288, 0.6466794013977051]","[-33.625, -58.3125, 31.5625]","[-0.948799967765808, -2.441400051116944, 3.098099946975708]","[0.7605446577072144, 1.2259891033172607, 0.4821297526359558]","[0.8506999611854553, 9.001999855041504, 3.7958998680114746]",,,
"[-1.8160020112991333, 0.1674313247203827, 2.029402017593384]","[0.7262139916419983, 0.5840319991111755, 0.35138601064682, 0.0896980017423629, -1.3978118896484375, -1.146434307098389, 2.393223762512207]","[17.5625, -39.9375, -3.75]","[-0.0953473374247551, 0.2503500282764435, 0.0654498487710952]","[-30.75, -56.75, 29.9375]","[1.295699954032898, -2.8076000213623047, 4.3090996742248535]","[-0.0429700054228305, 0.2257757931947708, 0.3726976215839386]","[0.6948999762535095, 8.936800003051758, 3.9773998260498047]",,,
"[9.314000129699709, 6.532636642456055, 6.413951873779297]","[0.7106130123138428, 0.6000469923019409, 0.3599979877471924, 0.0732970014214515, -1.5220003128051758, -1.1327354907989502, 2.2581493854522705]","[20.0, -39.25, -5.75]","[0.7341029047966003, -0.7874751091003418, 0.9056338667869568]","[-28.3125, -56.0625, 27.9375]","[6.7891998291015625, 10.055899620056152, 4.828000068664551]","[1.479393482208252, -0.1875007152557373, 0.6815510988235474]","[0.202799990773201, 8.880599975585938, 4.154799938201904]",,,
"[1.98803985118866, 8.738433837890625, 2.452122211456299]","[0.6890140175819397, 0.6131560206413269, 0.3815279901027679, 0.0611060000956058, -1.6659953594207764, -1.100807785987854, 2.1309239864349365]","[22.125, -37.6875, -3.3125]","[-0.6346889734268188, 0.1733111888170242, -0.0811229050159454]","[-26.1875, -54.5, 30.375]","[-2.559000015258789, 1.7006999254226685, -2.4988999366760254]","[-0.8167966604232788, 0.1989500820636749, -0.1097812131047248]","[-0.4220999777317047, 8.74329948425293, 4.421000003814697]",,,"[45.0, 1.5, 24.599952697753903, 12.017000198364258, 10.26622486114502, 133.4333038330078, 2192.804170265794, 6.6638597, 44.5741033]"
"[6.631478786468506, 17.231212615966797, 3.3067374229431152]","[0.6875669956207275, 0.6231020092964172, 0.368580013513565, 0.0560549981892108, -1.680685043334961, -1.1155898571014404, 2.0875227451324463]","[22.0625, -37.9375, -3.25]","[-0.5578770637512207, 0.0758520066738128, 0.173206478357315]","[-26.25, -54.75, 30.4375]","[2.0025999546051025, -2.7867000102996826, 1.4905999898910522]","[-0.4357738196849823, -0.0304909013211727, -0.3770609200000763]","[-0.4727999866008758, 8.807999610900879, 4.285399913787842]",,,
