TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[1.7462445497512815, 3.461106061935425, 9.977231979370115]","[0.2636640071868896, -0.0663660019636154, 0.5581629872322083, 0.7839189767837524, -0.8248915076255798, -0.9974905848503112, -1.1168177127838137]","[-34.0625, -30.0625, -10.625]","[0.0729722157120704, -0.7427423000335693, 0.3871314823627472]","[-66.5625, -1.875, 46.5]","[-2.6210999488830566, -2.349900007247925, 3.2272000312805176]","[0.1816364079713821, 0.0328645482659339, 0.4715879559516907]","[3.680299997329712, 8.214300155639648, 3.892299890518189]",,,
"[5.633317470550537, 3.381819486618042, 6.142027378082275]","[0.2669450044631958, -0.065652996301651, 0.5762929916381836, 0.7696200013160706, -0.8958079218864441, -1.0197970867156982, -1.1927227973937988]","[-33.5625, -30.8125, -9.625]","[-0.2791130542755127, 0.1933999359607696, 0.6373244524002075]","[-66.0625, -2.625, 47.5]","[4.536099910736084, 16.522998809814453, -1.7472000122070312]","[-1.1609057188034058, -0.3817907869815826, -0.52410489320755]","[3.1521999835968018, 8.307299613952637, 4.149899959564209]",,,"[45.0, 0.4314174056053161, 13.760086059570312, 12.37600040435791, 3.174463987350464, 210.0222625732422, 674.7875234801322, 18.8969009, 49.6401415]"
"[2.144026756286621, 10.44218635559082, 1.4606544971466064]","[0.2648189961910248, -0.0570969991385936, 0.5621070265769958, 0.7814379930496216, -0.8193163871765137, -1.012696385383606, -1.1261017322540283]","[-35.5, -29.25, -8.6875]","[-0.7291985750198364, 0.977995216846466, -0.1765400469303131]","[-68.0, -1.0625, 48.4375]","[1.1338999271392822, 0.7682999968528748, -4.019999980926514]","[0.6384763717651367, -0.44336599111557, -0.4488637745380401]","[3.3770999908447266, 8.361599922180176, 3.853299856185913]",,,
"[4.690633773803711, 8.968574523925781, 3.5557823181152344]","[0.2614589929580688, -0.0733620002865791, 0.5473650097846985, 0.7916110157966614, -0.8009904026985168, -0.9759560227394104, -1.080120086669922]","[-36.0, -27.9375, -8.9375]","[0.5646837949752808, -0.6909933090209961, -0.359851986169815]","[-68.5, 0.25, 48.1875]","[-1.1032999753952026, -0.9328999519348145, 5.384999752044678]","[-0.3536909818649292, -0.1853714138269424, 0.0364075675606727]","[3.7804999351501465, 8.130899429321289, 3.970399856567383]",,,"[45.0, 0.4314174056053161, 13.760086059570312, 12.343999862670898, 3.2525575160980225, 208.99932861328125, 674.7875234801322, 18.8968991, 49.6401361]"
"[0.5440583825111389, 8.118077278137207, 4.9117431640625]","[0.2461089938879013, -0.075994998216629, 0.5525889992713928, 0.7926530241966248, -0.8045194745063782, -0.9947386384010316, -1.056095838546753]","[-34.875, -29.0625, -10.75]","[0.0226892810314893, -0.326411485671997, 0.2322858721017837]","[-67.375, -0.875, 46.375]","[-0.1048999950289726, 2.003999948501587, -0.6627999544143677]","[-0.4491779208183288, -0.7988023161888123, -0.0038048177957534]","[3.782399892807007, 8.224200248718262, 3.7714998722076416]",,,
"[4.0204010009765625, 8.109966278076172, 4.053603649139404]","[0.2088830024003982, -0.0980099961161613, 0.5581719875335693, 0.7969970107078552, -0.8278529047966003, -1.0136691331863403, -0.9911187291145324]","[-35.0, -28.8125, -11.5625]","[-0.6806609630584717, -0.7650127410888672, -0.440067321062088]","[-67.5, -0.625, 45.5625]","[-0.9646999835968018, -0.7795999646186829, -0.0386999994516372]","[-0.1080358773469924, -0.7431960701942444, 0.0500909499824047]","[3.524199962615967, 8.291500091552734, 3.873099803924561]",,,
"[2.7407479286193848, 5.864194869995117, 4.472416400909424]","[0.1803590059280395, -0.1193170025944709, 0.5646920204162598, 0.7964640259742737, -0.8676624894142151, -1.0283995866775513, -0.9572936296463012]","[-33.625, -28.8125, -13.1875]","[-0.2842792272567749, -0.7739487886428833, 0.0010122909443452]","[-66.125, -0.625, 43.9375]","[0.4535999894142151, 1.6385999917984009, -0.0917999967932701]","[-0.3021514117717743, -0.1034282147884368, -0.0238935574889183]","[3.3414998054504395, 8.373899459838867, 3.857599973678589]",,,
"[2.9267678260803223, 9.664673805236816, 4.635691642761231]","[0.1649820059537887, -0.1207259967923164, 0.5712400078773499, 0.7949150204658508, -0.8741970658302307, -1.0518440008163452, -0.9389634132385254]","[-33.5, -29.0625, -13.0]","[-0.3654893934726715, -0.1310393214225769, 0.0582067295908927]","[-66.0, -0.875, 44.125]","[-1.0231999158859253, 0.5733999609947205, -1.4850999116897583]","[0.1544092744588852, -0.5107706189155579, -0.130009576678276]","[3.121799945831299, 8.497599601745605, 3.7699999809265137]",,,
"[1.2959047555923462, 5.768637657165527, 7.154841899871826]","[0.1513819992542266, -0.1356139928102493, 0.5696759819984436, 0.7963420152664185, -0.8907691240310669, -1.047656536102295, -0.9138541221618652]","[-32.875, -29.4375, -14.0625]","[-0.0573864243924617, -0.3608468174934387, -0.154304563999176]","[-65.375, -1.25, 43.0625]","[0.1131999939680099, 2.0504000186920166, 0.9088999629020692]","[-0.6397504210472107, -0.4334525167942047, -0.0196524076163768]","[3.113099813461304, 8.501399993896484, 3.768699884414673]",,,"[45.0, 0.4668444395065307, 13.760086059570312, 12.380999565124512, 3.248058795928955, 211.81100463867188, 674.7875234801322, 18.8968861, 49.6401205]"
"[3.7062623500823975, 0.2114558815956115, 7.111037731170654]","[0.123659998178482, -0.1346359997987747, 0.573731005191803, 0.798380970954895, -0.8629502058029175, -1.0818188190460205, -0.8469519019126892]","[-33.125, -28.9375, -14.6875]","[-0.7351326942443848, -0.07536331564188, -0.1911310106515884]","[-65.625, -0.75, 42.4375]","[0.7426999807357788, 5.048500061035156, -3.372299909591675]","[-0.2759714722633362, -0.7911577224731445, -0.5221501588821411]","[3.03279995918274, 8.61199951171875, 3.5782999992370605]",,,
"[2.225870132446289, 10.34026050567627, 6.9017653465271]","[0.1127469986677169, -0.1432770043611526, 0.5734490156173706, 0.798695981502533, -0.871505618095398, -1.0837407112121582, -0.8270133137702942]","[-32.8125, -29.375, -14.4375]","[-0.3745301961898803, 0.0456578135490417, 0.4620235562324524]","[-65.3125, -1.1875, 42.6875]","[1.2793999910354614, 4.19849967956543, -8.277599334716797]","[-0.7775965332984924, -0.3543542027473449, -0.2979975044727325]","[2.927500009536743, 8.667699813842773, 3.531099796295166]",,,
"[1.7454400062561035, 9.647828102111816, 1.7169969081878662]","[0.0833169966936111, -0.1543920040130615, 0.5710489749908447, 0.8019499778747559, -0.8516441583633423, -1.0977367162704468, -0.7482040524482727]","[-32.9375, -29.5625, -15.0]","[-0.6092246174812317, -0.1371654272079467, -0.1566956639289856]","[-65.4375, -1.375, 42.125]","[-3.7558999061584473, -2.64709997177124, 0.2888999879360199]","[-0.300650417804718, -0.2465975731611251, -0.1656142920255661]","[2.9614999294281006, 8.74679946899414, 3.300299882888794]",,,"[45.0, 0.4391323924064636, 13.164382934570312, 12.352999687194824, 3.3001132011413574, 211.5147399902344, 674.0097102103755, 18.8968816, 49.6401126]"
"[0.7898854613304138, 3.969318389892578, 7.57440185546875]","[0.0683109983801841, -0.1639339923858642, 0.576030969619751, 0.7979009747505188, -0.8777239322662354, -1.1125606298446655, -0.7387522459030151]","[-32.0, -29.375, -15.6875]","[-0.101700335741043, -0.5976530909538269, -0.14741051197052]","[-64.5, -1.1875, 41.4375]","[-0.1218999996781349, 12.849499702453612, 2.471699953079224]","[-0.8884947299957275, -0.6368532180786133, -0.4370827972888946]","[2.789299964904785, 8.764299392700195, 3.402400016784668]",,,
"[0.8015117049217224, 8.283803939819336, 7.285795211791992]","[0.041627999395132, -0.1657599955797195, 0.5707579851150513, 0.803134024143219, -0.8187406659126282, -1.1266778707504272, -0.6385293006896973]","[-31.75, -29.0, -15.5625]","[-1.0229374170303345, -0.3101100921630859, -0.3528706729412079]","[-64.25, -0.8125, 41.5625]","[2.27620005607605, 4.6753997802734375, -1.264699935913086]","[0.407726377248764, -0.3001791834831238, -0.0207170583307743]","[2.8132998943328857, 8.847899436950684, 3.157399892807007]",,,
"[0.9901077151298524, 7.974041938781738, 3.248950958251953]","[0.0365570001304149, -0.1754390001296997, 0.5678020119667053, 0.8034200072288513, -0.8336098790168762, -1.1187152862548828, -0.6317322254180908]","[-32.625, -28.5, -15.8125]","[-0.2295631617307663, -0.0759916380047798, -0.0260577648878097]","[-65.125, -0.3125, 41.3125]","[-1.6714999675750732, 3.8127999305725098, -0.402999997138977]","[0.0263195652514696, -0.2195100635290146, -0.3025353848934173]","[2.838500022888184, 8.818099975585938, 3.2174999713897705]",,,
"[1.4699441194534302, 10.826685905456545, 3.745086908340454]","[0.0250749997794628, -0.1877100020647049, 0.5606909990310669, 0.8060770034790039, -0.8327959179878235, -1.1073262691497805, -0.5959255695343018]","[-31.8125, -28.875, -16.5625]","[0.157620683312416, -0.1755103021860122, -0.1160643920302391]","[-64.3125, -0.6875, 40.5625]","[-0.5351999998092651, -1.781599998474121, 1.6744999885559082]","[-0.0071733030490577, -0.0410675965249538, 0.0217817090451717]","[2.986899852752685, 8.793399810791016, 3.1503000259399414]",,,
"[2.971060514450073, 7.261853218078613, 5.123754501342773]","[0.0210209991782903, -0.1988710016012191, 0.560034990310669, 0.8039699792861938, -0.8632624745368958, -1.10206401348114, -0.6039499044418335]","[-32.125, -27.5625, -17.5]","[0.1685115396976471, -0.2835636436939239, -0.0109432144090533]","[-64.625, 0.625, 39.625]","[-1.442699909210205, 0.7160999774932861, 0.8570999503135681]","[-0.3404962718486786, -0.3337418437004089, -0.1256637126207351]","[2.874500036239624, 8.756999969482422, 3.349900007247925]",,,
"[0.5690730214118958, 9.05900764465332, 2.8956527709960938]","[0.001211000024341, -0.2070019990205764, 0.5577870011329651, 0.803754985332489, -0.852470874786377, -1.111008882522583, -0.5524507761001587]","[-31.8125, -28.25, -18.0625]","[-0.4120722413063049, -0.1978679746389389, -0.0801280662417411]","[-64.3125, -0.0625, 39.0625]","[-1.0858999490737915, 0.8091999888420105, -0.8190999627113342]","[0.0113970004022121, -0.5357986092567444, -0.1958433985710144]","[2.890300035476685, 8.781599998474121, 3.2707998752593994]",,,"[45.0, 0.4639831483364105, 13.164382934570312, 12.352999687194824, 3.263051986694336, 214.96681213378903, 674.0097102103755, 18.8968657, 49.6400961]"
"[2.261620283126831, 9.371001243591309, 2.443723440170288]","[-0.0172569993883371, -0.2189220041036605, 0.5512800216674805, 0.8048999905586243, -0.8441925644874573, -1.1084457635879517, -0.4993516206741333]","[-31.4375, -28.0625, -18.5625]","[-0.1085943877696991, -0.2775247991085052, -0.2254267185926437]","[-63.9375, 0.125, 38.5625]","[0.1301999986171722, -0.1784999966621399, 0.5060999989509583]","[0.0266860835254192, -0.3869918584823608, -0.1217716187238693]","[2.8999998569488525, 8.778999328613281, 3.269399881362915]",,,
