time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-03-20 14:48:40.000,"[2.804251909255981, 10.26301383972168, 2.45325231552124]","[0.0876000002026557, -0.2033070027828216, 0.7981420159339905, 0.5603209733963013, -2.341093301773072, -1.032946228981018, -2.1711530685424805]","[-6.875, -39.25, -17.875]","[-0.830811619758606, 0.326516181230545, -0.195721223950386]","[-54.5625, -54.25, 17.625]","[5.440000057220459, 8.180500030517578, 1.0720999240875244]","[-0.1673072576522827, 0.4532620012760162, -0.5390798449516296]","[-3.4982998371124268, 8.42199993133545, 3.605599880218506]",,
2024-03-20 14:48:40.100,"[-5.146240711212158, 29.198524475097656, 6.707700729370117]","[0.0937040001153945, -0.1885720044374466, 0.7856220006942749, 0.5817700028419495, -2.2655134201049805, -1.0732635259628296, -2.1269774436950684]","[-8.125, -40.625, -15.0]","[0.0002967059845104, -0.1838180720806121, -0.0218166150152683]","[-55.8125, -55.625, 20.5]","[7.94849967956543, 9.740300178527832, 3.759399890899658]","[-0.9351474046707152, 0.2196147739887237, -1.1263482570648191]","[-2.9960999488830566, 8.61769962310791, 3.595499992370605]",,
2024-03-20 14:48:40.200,"[0.8076504468917847, 5.967059135437012, 4.936450958251953]","[0.0751399993896484, -0.1518069952726364, 0.7553799748420715, 0.633014976978302, -2.120453119277954, -1.204108953475952, -2.010125160217285]","[-14.6875, -39.4375, -12.625]","[-0.6532942056655884, 1.1789698600769043, -0.9565451741218568]","[-62.375, -54.4375, 22.875]","[1.7875999212265017, -9.027199745178224, 4.768799781799316]","[-0.5644394755363464, -0.1059589385986328, -1.1247774362564087]","[-1.8365999460220337, 9.154699325561523, 2.997999906539917]",,
2024-03-20 14:48:40.300,"[6.644292831420898, 10.59707260131836, 5.662171840667725]","[0.0747099965810775, -0.1619510054588318, 0.7161440253257751, 0.6747789978981018, -1.8064701557159424, -1.229373335838318, -1.6811907291412354]","[-18.5625, -36.5625, -15.625]","[0.3523994386196136, -0.3228335380554199, -0.3799058198928833]","[-66.25, -51.5625, 19.875]","[4.032299995422363, -2.013099908828736, 1.818399906158448]","[1.297966480255127, -0.642281174659729, -0.7841764092445374]","[-0.7666999697685242, 9.240599632263184, 3.192699909210205]",,
2024-03-20 14:48:40.400,"[2.2653074264526367, 2.965372085571289, 3.9810593128204346]","[0.0938969999551773, -0.2159850001335144, 0.668241024017334, 0.7056819796562195, -1.539182424545288, -1.12570321559906, -1.3619261980056765]","[-22.875, -31.6875, -19.8125]","[1.2858712673187256, -0.5655215978622437, -0.814073920249939]","[-70.5625, -46.6875, 15.6875]","[0.8863999843597412, -3.6731998920440674, -0.8072999715805054]","[0.7464598417282104, -0.1997878402471542, -1.3585468530654907]","[0.1333999931812286, 8.851099967956543, 4.21999979019165]",,
2024-03-20 14:48:40.500,"[0.8172846436500549, 6.21671724319458, 4.779822826385498]","[0.1018769964575767, -0.250667005777359, 0.6194409728050232, 0.736939013004303, -1.3583459854125977, -1.0390167236328125, -1.139827013015747]","[-25.4375, -27.0625, -22.1875]","[0.5959252119064331, -0.2639112472534179, -1.0441431999206543]","[-73.125, -42.0625, 13.3125]","[-1.038599967956543, -1.2249000072479248, -0.0554999969899654]","[0.8414581418037415, 0.1427853852510452, -0.8983384370803833]","[1.0484999418258667, 8.452400207519531, 4.860799789428711]",left,STOP
2024-03-20 14:48:40.600,"[-6.710535526275635, -0.2758886516094208, 3.4427855014801025]","[0.121458001434803, -0.2691330015659332, 0.580830991268158, 0.7585830092430115, -1.2535276412963867, -0.9541809558868408, -1.0339082479476929]","[-28.3125, -23.3125, -23.5]","[0.6770481467247009, 0.2299471348524093, -0.4798084497451782]","[-76.0, -38.3125, 12.0]","[-7.015699863433838, -4.931099891662598, -2.0829999446868896]","[0.3388556838035583, -0.1540427654981613, -1.9725362062454224]","[1.7690999507904053, 8.00059986114502, 5.387899875640869]",right,START
2024-03-20 14:48:40.700,"[4.489760398864746, 17.882062911987305, 8.701123237609863]","[0.111346997320652, -0.3184530138969421, 0.5239840149879456, 0.7820670008659363, -1.1872923374176023, -0.8460440635681152, -0.8727632164955139]","[-28.9375, -18.125, -26.75]","[0.6903649568557739, -0.5562364459037781, -0.6052278280258179]","[-76.625, -33.125, 8.75]","[-1.079200029373169, 7.505300045013428, -3.714599847793579]","[1.3093984127044678, 0.3613529801368713, -0.0502131208777427]","[2.432499885559082, 7.341799736022949, 6.02899980545044]",,
2024-03-20 14:48:40.800,"[3.161782741546631, 9.536746978759766, -0.6957454085350037]","[0.1289779990911483, -0.3521479964256286, 0.5033460259437561, 0.7784579992294312, -1.2237390279769895, -0.7654046416282654, -0.8789830207824707]","[-29.3125, -14.625, -28.5]","[0.3127804398536682, -1.5020653009414673, -1.3264851570129397]","[-77.0, -29.625, 7.0]","[-4.386099815368652, 6.179800033569336, -8.70930004119873]","[0.0824318975210189, -1.0149787664413452, -1.8184934854507449]","[2.4052000045776367, 6.794299602508545, 6.649899959564209]",,
2024-03-20 14:48:40.900,"[0.2770091295242309, 8.30736255645752, 3.3237361907958984]","[0.0832030028104782, -0.4062039852142334, 0.4537859857082367, 0.7887669801712036, -1.2248941659927368, -0.7053075432777405, -0.7162529826164246]","[-27.1875, -11.5, -31.6875]","[-0.4964763522148132, -0.8869588971138, -1.7435665130615234]","[-74.875, -26.5, 3.8125]","[-3.914299964904785, 1.4682999849319458, -0.0618999972939491]","[-0.7175397872924805, -0.5772327184677124, -1.36196768283844]","[2.531599998474121, 6.3572998046875, 7.024600028991699]",,
