time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-25 15:11:09.100,"[0.0521648675203323, 15.804259300231934, -6.254056930541992]","[-0.5775110125541687, -0.3431189954280853, 0.6508129835128784, 0.3538250029087066, 1.73166024684906, -1.0291435718536377, -3.0679409503936768]","[3.375, -47.875, 4.3125]","[0.0477871149778366, -0.1458397060632705, 0.1719672977924347]","[-349.5625, -61.0, -110.75]","[5.320799827575684, 4.01230001449585, 0.9991999864578248]","[0.0953997001051902, 0.0578227564692497, 0.324247270822525]","[-0.8097999691963196, 8.402899742126465, -4.990499973297119]",,
2024-02-25 15:11:09.200,"[2.706233263015747, 0.1884907037019729, -3.013102769851685]","[-0.5760689973831177, -0.3767369985580444, 0.6339960098266602, 0.352506011724472, 1.7574005126953125, -1.0780304670333862, -2.989729881286621]","[3.9375, -47.1875, 2.8125]","[0.85248863697052, -0.3695734739303589, 0.5960648655891418]","[-349.0, -60.3125, -111.8125]","[4.136099815368652, -4.383800029754639, 3.1366000175476074]","[0.8785638213157654, -0.2684839963912964, 0.1803448647260666]","[-0.8605999946594238, 8.639900207519531, -4.558599948883057]",,
2024-02-25 15:11:09.300,"[3.010287284851074, 9.42616367340088, -4.247294425964356]","[-0.5866360068321228, -0.3858340084552765, 0.6367080211639404, 0.3187330067157745, 1.7840955257415771, -1.0324699878692627, -2.910622358322144]","[6.4375, -46.3125, 3.1875]","[-0.5971643924713135, -0.5436525940895081, 0.5508957505226135]","[-346.5, -59.4375, -112.25]","[1.515399932861328, 1.798799991607666, 1.3539999723434448]","[-0.6545857191085815, -0.514941930770874, 0.5962742567062378]","[-1.0642999410629272, 8.419699668884277, -4.91379976272583]",,
2024-02-25 15:11:09.400,"[0.722866952419281, 8.813333511352539, -6.094382762908936]","[-0.6105899810791016, -0.4009090065956116, 0.6166549921035767, 0.2935749888420105, 1.7278659343719482, -1.0191272497177124, -2.879221677780152]","[6.75, -46.3125, 4.25]","[-0.0899193659424781, -0.8271638751029968, 0.2515892088413238]","[-346.0625, -59.25, -110.9375]","[-0.5982999801635742, -4.105499744415283, -2.8374998569488525]","[-0.0729024037718772, -0.7693585753440857, 0.1766622215509414]","[-0.8039999604225159, 8.351799964904785, -5.076399803161621]",,
2024-02-25 15:11:09.500,"[5.007654666900635, 6.82763147354126, -5.3753275871276855]","[-0.6147029995918274, -0.4480940103530884, 0.600579023361206, 0.2462799996137619, 1.8040250539779663, -1.0097721815109253, -2.68315863609314]","[8.5625, -46.25, 4.5]","[0.3594156503677368, -0.9000663161277771, 1.2123929262161257]","[-344.6875, -59.5, -110.5]","[3.0102999210357666, -2.9391000270843506, -1.7685999870300293]","[0.4149520397186279, -0.9142383933067322, 0.8177914619445801]","[-1.205899953842163, 8.303400039672852, -5.076299667358398]",,
2024-02-25 15:11:09.600,"[-2.166637659072876, -2.7326748371124268, -4.764451503753662]","[-0.62288898229599, -0.482369989156723, 0.576088011264801, 0.2178280055522918, 1.8199131488800049, -1.0196067094802856, -2.5674889087677]","[12.875, -45.125, 5.25]","[0.9483246207237244, -0.8639205098152161, 0.2634225487709045]","[-339.9375, -58.0625, -109.5625]","[2.2272000312805176, 1.3443999290466309, 4.427999973297119]","[0.894603431224823, -0.8246680498123169, 0.267244815826416]","[-1.2661999464035034, 8.354299545288086, -4.977099895477295]",,
2024-02-25 15:11:09.700,"[1.2858490943908691, 3.947895050048828, -6.263193130493164]","[-0.6267240047454834, -0.4890599846839905, 0.5804970264434814, 0.1762340068817138, 1.8385272026062007, -0.9572614431381226, -2.494956970214844]","[14.875, -44.3125, 7.0]","[-0.5845107436180115, -0.4255112707614898, 1.0406874418258667]","[-338.3125, -57.5, -108.1875]","[-1.977799892425537, 1.3276000022888184, -2.880699872970581]","[-0.582364022731781, -0.1388409435749054, 0.6689847111701965]","[-1.4936999082565308, 8.018099784851074, -5.444999694824219]",,
2024-02-25 15:11:09.800,"[2.6758174896240234, 12.515880584716797, -9.292806625366213]","[-0.6133509874343872, -0.5267720222473145, 0.563444972038269, 0.1698199957609176, 1.9258277416229248, -0.9928030967712402, -2.358839511871338]","[17.25, -44.125, 6.625]","[0.8885994553565979, -0.3373721539974212, 0.7001388072967529]","[-335.9375, -57.0, -108.1875]","[8.560400009155273, -3.7319998741149902, -0.7622999548912048]","[0.8194146156311035, -0.1635373532772064, 0.6615495681762695]","[-1.862399935722351, 8.213600158691406, -5.023600101470947]",,
2024-02-25 15:11:09.900,"[0.4868178069591522, 7.844870090484619, -4.225095748901367]","[-0.5937640070915222, -0.5948240160942078, 0.5267090201377869, 0.1272950023412704, 2.0764710903167725, -0.998140811920166, -2.0711631774902344]","[21.6875, -42.0, 4.125]","[0.8805186152458191, -1.1637680530548096, 1.3745864629745483]","[-331.625, -55.375, -110.6875]","[-0.2207999974489212, 0.1228999942541122, 3.207199811935425]","[0.9701761603355408, -1.130868673324585, 1.5598530769348145]","[-2.5739998817443848, 8.24209976196289, -4.648799896240234]",,
2024-02-25 15:11:10.000,"[0.0685412064194679, 10.52865505218506, -5.861273765563965]","[-0.5911340117454529, -0.6403689980506897, 0.484389990568161, 0.076503001153469, 2.118300199508667, -0.9812667965888976, -1.8780473470687864]","[26.5625, -39.25, 6.625]","[0.4702266156673431, -1.4830411672592163, 0.9569989442825316]","[-326.5, -52.5, -108.5]","[4.907299995422363, 7.127399921417236, -1.032599925994873]","[0.233856663107872, -1.3895089626312256, 1.0629229545593262]","[-2.838099956512451, 8.151299476623535, -4.655099868774414]",,
