time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-25 13:21:05.000,"[1.4635754823684692, 11.687295913696287, -5.466517925262451]","[-0.7563470005989075, -0.3664939999580383, 0.4960300028324127, 0.2181140035390854, 1.1857924461364746, -0.8800573945045471, -3.088759660720825]","[-3.9375, -46.9375, 13.875]","[0.2983291149139404, 0.1482482701539993, -0.3892258703708648]","[-356.25, -59.75, -102.125]","[-0.3655000030994415, -4.332299709320068, -2.2802999019622803]","[0.2924124598503113, 0.1506568193435669, -0.3873409330844879]","[2.346400022506714, 7.558699607849121, -5.790499687194824]",,
2024-02-25 13:21:05.100,"[-0.2297475934028625, 6.275863170623779, -5.447019577026367]","[-0.7520740032196045, -0.3576779961585998, 0.4999510049819946, 0.2376929968595504, 1.1734524965286257, -0.8877765536308289, -3.141406536102295]","[-5.4375, -47.25, 11.75]","[0.2249031215906143, 0.291522353887558, -0.3632728159427643]","[-358.0, -60.0625, -104.4375]","[-0.8357999920845032, 1.2975999116897583, 1.7941999435424805]","[0.2189864665269851, 0.2939308881759643, -0.3614053130149841]","[2.3949999809265137, 7.60669994354248, -5.707099914550781]",,
2024-02-25 13:21:05.200,"[2.7576799392700195, 11.108147621154783, -3.851121425628662]","[-0.7475330233573914, -0.3525660037994385, 0.5059940218925476, 0.2466959953308105, 1.1809754371643066, -0.889509379863739, 3.122483015060425]","[-5.5, -47.5625, 11.3125]","[0.0792030394077301, 0.2245016992092132, -0.0911061838269233]","[-357.9375, -60.25, -104.8125]","[-2.268499851226806, 3.267899990081787, 3.4179999828338623]","[0.0732863768935203, 0.2269102483987808, -0.0892212316393852]","[2.3469998836517334, 7.6173996925354, -5.712699890136719]",,
2024-02-25 13:21:05.300,"[-0.2303126156330108, 10.956028938293455, -1.7598531246185305]","[-0.7484470009803772, -0.3342640101909637, 0.505437970161438, 0.2694909870624542, 1.1390210390090942, -0.8832093477249146, 3.03820538520813]","[-6.8125, -47.4375, 10.9375]","[0.2151118367910385, 0.1976236253976822, -0.5461658835411072]","[-359.375, -60.1875, -105.3125]","[-0.5745999813079834, 0.1001999974250793, 1.337799906730652]","[0.2091951668262481, 0.2000321894884109, -0.5442809462547302]","[2.604599952697754, 7.578299999237059, -5.6528000831604]",,
2024-02-25 13:21:05.400,"[-0.8600929975509644, 6.059906482696533, -2.0852060317993164]","[-0.7453380227088928, -0.3025799989700317, 0.5148760080337524, 0.2963410019874573, 1.1172555685043335, -0.8574960231781006, 2.941326379776001]","[-9.3125, -47.375, 11.3125]","[0.0901288017630577, 0.4715006947517395, -0.7203148603439331]","[-361.75, -60.0625, -105.0]","[-2.880100011825561, 2.145599842071533, 1.3255999088287354]","[0.0842121392488479, 0.4739092588424682, -0.7184298634529114]","[2.811499834060669, 7.415799617767334, -5.767999649047852]",,
2024-02-25 13:21:05.500,"[3.740097522735596, 7.6375322341918945, -6.44127368927002]","[-0.7273479700088501, -0.271136999130249, 0.5408700108528137, 0.3238930106163025, 1.1576924324035645, -0.840220034122467, 2.871782064437866]","[-11.1875, -46.5625, 11.9375]","[0.0688532367348671, 0.9701412320137024, -0.4256508946418762]","[-363.6875, -59.25, -104.1875]","[1.0504000186920166, 1.2179999351501465, 0.3643999993801117]","[0.0629191175103187, 0.9725497961044312, -0.4237659275531769]","[2.626999855041504, 7.303899765014648, -5.993399620056152]",,
2024-02-25 13:21:05.600,"[4.443303108215332, 14.836782455444336, -2.79472279548645]","[-0.7053999900817871, -0.2635740041732788, 0.5565720200538635, 0.3509500026702881, 1.1882392168045044, -0.8671809434890747, 2.824509859085083]","[-11.25, -46.75, 12.0]","[0.3647912740707397, 0.6703634858131409, -0.1139874532818794]","[-363.9375, -59.75, -104.3125]","[-5.329999923706055, 0.0733999982476234, 1.7965999841690063]","[0.3588571548461914, 0.6727720499038696, -0.1121025010943412]","[2.3683998584747314, 7.477599620819092, -5.88599967956543]",,
2024-02-25 13:21:05.700,"[0.5589599013328552, 2.873405933380127, -5.129749298095703]","[-0.69479900598526, -0.2441399991512298, 0.5536550283432007, 0.3887349963188171, 1.138046383857727, -0.8783814311027527, 2.7051749229431152]","[-13.0625, -46.0, 10.9375]","[0.5465498566627502, 0.2669830024242401, -0.7623423337936401]","[-365.4375, -58.75, -105.125]","[0.5027999877929688, 1.022699952125549, 4.016200065612793]","[0.5406157374382019, 0.2693741023540497, -0.7604573965072632]","[2.6253998279571533, 7.548199653625488, -5.683399677276611]",,
2024-02-25 13:21:05.800,"[0.6443179845809937, 9.47914218902588, -8.117215156555176]","[-0.6847000122070312, -0.2147829979658126, 0.5707579851150513, 0.3991079926490783, 1.1732476949691772, -0.8476267457008362, 2.668779134750366]","[-14.375, -45.625, 12.3125]","[-0.3697828948497772, 0.7670547366142273, -0.3000919222831726]","[-366.875, -58.375, -104.3125]","[-0.8944000005722046, 1.0716999769210815, 3.5023999214172363]","[-0.3756995797157287, 0.769463300704956, -0.2982244193553924]","[2.512500047683716, 7.352099895477295, -5.983500003814697]",,
2024-02-25 13:21:05.900,"[0.8268519043922424, 0.7711149454116821, -6.616816997528076]","[-0.6762179732322693, -0.1734710037708282, 0.5689579844474792, 0.4346509873867035, 1.1293069124221802, -0.8171590566635132, 2.5343809127807617]","[-16.625, -44.625, 13.25]","[0.3288898468017578, 0.6101147532463074, -1.1742749214172363]","[-369.0, -57.3125, -102.9375]","[1.878999948501587, 1.812099933624268, 6.116199970245361]","[0.3229731917381286, 0.6125233173370361, -1.1724075078964231]","[2.867300033569336, 7.151000022888184, -6.0671000480651855]",,
