time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-03-22 13:03:12.900,"[-6.622572898864746, 18.567398071289062, 4.879354476928711]","[0.1150799989700317, 0.4711799919605255, 0.5356249809265137, 0.6912670135498047, 1.6045043468475342, -1.0140265226364136, 0.7129770517349243]","[-7.25, -20.625, 38.75]","[0.6841167211532593, 0.4450415074825287, -1.3353339433670044]","[-60.25, -41.5625, 73.5]","[0.9746999740600586, 11.357799530029297, 12.058300018310549]","[0.2738945186138153, 0.6393489837646484, -0.2359685152769088]","[-0.2881999909877777, 8.22599983215332, -5.330999851226807]",left,STOP,quick,advanced,blue
2024-03-22 13:03:13.000,"[0.0153516214340925, 16.686147689819336, 3.426897525787353]","[0.1599240005016327, 0.4526880085468292, 0.5245689749717712, 0.7030820250511169, 1.4860925674438477, -1.0809844732284546, 0.5603804588317871]","[-7.1875, -21.625, 37.0625]","[1.2929224967956543, -0.3178942799568176, -0.3255213499069214]","[-60.1875, -42.5625, 71.8125]","[3.3651998043060303, 3.658799886703491, 5.850399971008301]","[0.5454154014587402, 0.0808960124850273, -0.7962192296981812]","[0.3219999969005584, 8.550399780273438, -4.791299819946289]",right,START,quick,advanced,blue
2024-03-22 13:03:13.100,"[0.5520933270454407, 9.532256126403809, -0.5912145972251892]","[0.2146870046854019, 0.3998849987983703, 0.5533310174942017, 0.6984440088272095, 1.3625460863113403, -1.236500859260559, 0.4497701525688171]","[-9.4375, -25.5625, 33.9375]","[1.6135917901992798, -0.0736005306243896, -0.2242748141288757]","[-62.4375, -46.5, 68.6875]","[-4.674599647521973, 6.509999752044678, 10.665499687194824]","[1.5998386144638062, -0.3004235327243805, -0.0765501409769058]","[0.6342999935150146, 9.151199340820312, -3.467399835586548]",,,quick,advanced,blue
2024-03-22 13:03:13.200,"[10.315475463867188, 11.629566192626951, 1.2622710466384888]","[0.2721970081329345, 0.3453930020332336, 0.5812100172042847, 0.6846939921379089, 1.069504976272583, -1.3912897109985352, 0.1617261469364166]","[-10.75, -30.1875, 28.625]","[2.1250953674316406, -0.2570171952247619, -0.8900830149650574]","[-63.75, -51.125, 63.375]","[-9.295700073242188, 6.76479959487915, 7.243799686431885]","[1.6456011533737185, -0.4184426963329315, -0.558732271194458]","[0.8324999809265137, 9.572999954223633, -1.9579999446868896]",,,quick,advanced,blue
2024-03-22 13:03:13.300,"[-4.256977081298828, 2.4405245780944824, -1.5964345932006836]","[0.3298650085926056, 0.275191992521286, 0.5900629758834839, 0.6835809946060181, -0.0855402573943138, -1.4174408912658691, -0.9725287556648254]","[-13.5, -34.5, 22.4375]","[1.614220142364502, -0.5550845265388489, -0.3708650171756744]","[-66.5, -55.4375, 57.1875]","[-2.076799869537353, 2.696499824523926, -2.220499992370605]","[1.8756005764007568, -1.1752173900604248, -0.2207317948341369]","[1.3707000017166138, 9.708799362182615, -0.1721999943256378]",,,quick,advanced,blue
2024-03-22 13:03:13.400,"[-1.8263927698135376, 4.168631076812744, -1.833604097366333]","[0.3578940033912658, 0.1760919988155365, 0.6259999871253967, 0.6700940132141113, -0.9420424699783324, -1.3054516315460205, -1.723651647567749]","[-15.875, -37.25, 14.4375]","[1.7852100133895874, -1.7109287977218628, 0.0788888782262802]","[-68.875, -58.1875, 49.1875]","[-6.791299819946289, -4.918099880218506, -4.691400051116943]","[1.2027587890625, -2.115269184112549, 0.7128448486328125]","[1.5839999914169312, 9.527299880981444, 1.7003999948501587]",,,quick,advanced,blue
2024-03-22 13:03:13.500,"[4.928244113922119, 1.997166514396668, 0.1763473153114318]","[0.3303479850292206, 0.0674649998545646, 0.6881260275840759, 0.6424949765205383, -1.452149510383606, -1.1911853551864624, -2.033169269561768]","[-17.4375, -38.5625, 5.1875]","[1.3352466821670532, -2.6257083415985107, 0.5849296450614929]","[-70.4375, -59.5, 39.9375]","[-4.616300106048584, -3.470899820327759, -6.848899841308594]","[1.3155418634414673, -2.666374444961548, 0.2972295582294464]","[0.7328000068664551, 9.188199996948242, 3.347899913787842]",,,quick,advanced,blue
2024-03-22 13:03:13.600,"[8.13830280303955, 15.32329273223877, 4.082353115081787]","[0.2822780013084411, -0.0902300029993057, 0.7236409783363342, 0.6233130097389221, -1.6922552585601809, -1.0182098150253296, -1.975505352020264]","[-16.625, -38.875, -4.6875]","[2.236639499664306, -2.162113904953003, -1.768280267715454]","[-69.625, -59.8125, 30.0625]","[20.82859992980957, 32.625, -0.8339999914169312]","[1.0040879249572754, -0.9794962406158448, -0.6962292790412903]","[-0.705299973487854, 8.621600151062012, 4.619400024414063]",,,quick,advanced,blue
2024-03-22 13:03:13.700,"[-7.285632133483887, -4.0276312828063965, -4.847559452056885]","[0.2742480039596557, -0.1713989973068237, 0.7093039751052856, 0.6263359785079956, -1.6780089139938354, -0.9182060360908508, -1.8317127227783203]","[-17.25, -34.5, -17.875]","[0.9965306520462036, 0.8239699602127075, -1.2741252183914185]","[-71.5, -54.6875, 16.9375]","[-25.69409942626953, 9.234399795532228, -7.200899600982666]","[0.39041268825531, -1.589576005935669, -0.7684335708618164]","[-0.685699999332428, 7.90749979019165, 5.759299755096436]",,,quick,advanced,blue
2024-03-22 13:03:13.800,"[6.752127647399902, 17.335533142089844, 10.770374298095703]","[0.2524360120296478, -0.2202409952878952, 0.6947879791259766, 0.6364259719848633, -1.669463276863098, -0.8838223814964294, -1.7178232669830322]","[-16.5625, -33.375, -19.75]","[0.106587253510952, -0.0650658756494522, 1.9147483110427856]","[-70.8125, -53.5625, 15.0625]","[2.679999828338623, -2.873199939727783, -7.104099750518799]","[-0.3534815311431885, -0.1973443776369094, -1.0096904039382937]","[-0.4930999875068664, 7.580399990081787, 6.2017998695373535]",,,quick,advanced,blue
2024-03-22 13:03:13.900,"[2.419896125793457, -0.2905890643596649, 5.456299304962158]","[0.2266039997339248, -0.2200510054826736, 0.6932420134544373, 0.6477980017662048, -1.6673016548156738, -0.9246876239776612, -1.6770745515823364]","[-18.5, -35.5, -16.4375]","[-0.7569493055343628, 1.7727309465408323, 0.5655215978622437]","[-72.75, -55.6875, 18.375]","[10.789299964904783, 1.674399971961975, -6.586799621582031]","[1.0774964094161987, -1.1745193004608154, -1.3868910074234009]","[-0.7080000042915344, 7.7104997634887695, 6.017999649047852]",,,quick,advanced,blue
