time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-02-24 16:46:56.700,"[6.806754112243652, 6.910163879394531, 4.046507358551025]","[0.5463209748268127, 0.0899910032749176, 0.4687429964542389, 0.6882680058479309, -0.6195942163467407, -0.8383930325508118, -1.625220775604248]","[-29.5625, -35.0625, 3.375]","[0.5012585520744324, 1.0419615507125854, 0.1627519577741623]","[-61.25, -9.375, 60.6875]","[-1.1212999820709229, 3.048799991607666, -3.441499948501587]","[0.0153239909559488, -0.1412669420242309, -0.0357268899679183]","[5.269499778747559, 7.297199726104736, 3.892599821090698]",,,snowplow,beginner,blue
2024-02-24 16:46:56.800,"[7.3515400886535645, 7.420828342437744, 2.4287548065185547]","[0.5510280132293701, 0.0940330028533935, 0.4633809924125671, 0.6876059770584106, -0.6038298010826111, -0.8343747854232788, -1.6254774332046509]","[-28.875, -35.4375, 3.25]","[-0.1019272282719612, 0.0485899671912193, 0.056025069206953]","[-60.5625, -9.75, 60.5625]","[0.5548999905586243, -0.3818999826908111, -1.2667999267578125]","[0.310459166765213, 0.0356396250426769, 0.16920967400074]","[5.407399654388428, 7.246500015258789, 3.7968997955322266]",,,snowplow,beginner,blue
2024-02-24 16:46:56.900,"[4.1565446853637695, 6.645279407501221, 2.5852396488189697]","[0.5570880174636841, 0.0936129987239837, 0.4706319868564605, 0.6777859926223755, -0.6349702477455139, -0.8364619016647339, -1.6659762859344482]","[-28.625, -36.75, 2.25]","[0.3805166780948639, -0.0580147430300712, 0.024539329111576]","[-60.3125, -11.0625, 59.5625]","[0.0546000003814697, 0.865399956703186, -1.435499906539917]","[0.2581691145896911, -0.3304257392883301, -0.0753807723522186]","[5.348700046539307, 7.283799648284912, 3.8086998462677]",,,snowplow,beginner,blue
2024-02-24 16:46:57.000,"[5.92136812210083, 6.73302173614502, 3.673797130584717]","[0.5560110211372375, 0.0802839994430542, 0.4786860048770904, 0.674731969833374, -0.6757851243019104, -0.8260311484336853, -1.684017777442932]","[-29.0, -35.8125, 1.0625]","[0.0626049563288688, -0.4971570372581482, -0.0882089436054229]","[-60.6875, -10.125, 58.375]","[0.1092000007629394, -0.4017999768257141, 0.939799964427948]","[0.1492431014776229, -0.0588175952434539, 0.0406487174332141]","[5.196099758148193, 7.207599639892578, 4.149699687957764]",,,snowplow,beginner,blue
2024-02-24 16:46:57.100,"[5.675570011138916, 8.838300704956055, 5.219407558441162]","[0.556879997253418, 0.0759380012750625, 0.4794450104236603, 0.6739799976348877, -0.6846256852149963, -0.8195656538009644, -1.6882256269454956]","[-28.875, -36.3125, 0.0]","[0.1551946699619293, -0.0978082492947578, -0.0490088462829589]","[-60.5625, -10.625, 57.3125]","[0.1460999995470047, -1.6933999061584473, 1.855299949645996]","[0.2852042615413666, -0.2778738737106323, 0.1131671518087387]","[5.198400020599365, 7.185199737548828, 4.185499668121338]",,,snowplow,beginner,blue
2024-02-24 16:46:57.200,"[6.481573104858398, 7.938645839691162, 3.373506784439087]","[0.5541110038757324, 0.0708059966564178, 0.4864070117473602, 0.6718289852142334, -0.7096800804138184, -0.8213018774986267, -1.699236512184143]","[-28.875, -36.3125, 1.25]","[-0.0290771853178739, -0.189909279346466, 0.1534144431352615]","[-60.5625, -10.625, 58.5625]","[-0.1640999913215637, 1.656199932098389, 0.2179999947547912]","[-0.3466398417949676, -0.1330988109111786, -0.0157428700476884]","[5.067399978637695, 7.150099754333496, 4.400799751281738]",,,snowplow,beginner,blue
2024-02-24 16:46:57.300,"[4.386350154876709, 7.185324668884277, 5.185161113739014]","[0.5416370034217834, 0.0772269964218139, 0.4855650067329407, 0.6818289756774902, -0.6834955811500549, -0.8417388200759888, -1.6584062576293943]","[-29.125, -36.75, 1.1875]","[-0.3003886044025421, -0.1334304213523864, -0.0282219741493463]","[-60.8125, -11.0625, 58.5]","[1.0774999856948853, 4.460999965667725, -2.6965999603271484]","[-0.2002416253089904, -0.0072431163862347, -0.0297578629106283]","[5.080999851226807, 7.30679988861084, 4.118499755859375]",,,snowplow,beginner,blue
2024-02-24 16:46:57.400,"[6.696007251739502, 10.264920234680176, 3.887934684753418]","[0.5329560041427612, 0.0760999992489814, 0.4879080057144165, 0.6871029734611511, -0.6814208626747131, -0.8504874110221863, -1.637844204902649]","[-29.0625, -36.125, 1.4375]","[-0.2940007150173187, -0.1404117345809936, -0.038065630942583]","[-60.75, -10.4375, 58.75]","[-2.018199920654297, -2.332399845123291, 0.7069000005722046]","[0.4145680665969848, -0.2299122214317321, 0.0245742350816726]","[4.999399662017822, 7.36329984664917, 4.117899894714356]",,,snowplow,beginner,blue
2024-02-24 16:46:57.500,"[4.320873260498047, 8.59217643737793, 3.5482070446014404]","[0.5352370142936707, 0.0686020031571388, 0.4952509999275207, 0.6808379888534546, -0.7179279923439026, -0.8447543382644653, -1.6665945053100586]","[-27.9375, -36.3125, 0.5625]","[0.4349185824394226, -0.0625002384185791, 0.1821425557136535]","[-59.625, -10.625, 57.875]","[0.9068999886512756, 0.116299994289875, 0.274399995803833]","[-0.0649786069989204, 0.2803173363208771, 0.3009994924068451]","[4.986799716949463, 7.326900005340576, 4.197299957275391]",,,snowplow,beginner,blue
2024-02-24 16:46:57.600,"[3.919614791870117, 4.264101982116699, 4.801322937011719]","[0.542497992515564, 0.0834280028939247, 0.49617800116539, 0.6727120280265808, -0.7120473980903625, -0.8603776097297668, -1.6953125]","[-27.75, -37.0, 1.75]","[-0.2362826764583587, 0.4811523556709289, 0.0986285582184791]","[-59.4375, -11.3125, 59.0625]","[-0.298799991607666, -0.6462999582290649, -1.9156999588012693]","[-0.2678382396697998, 0.1062905490398407, -0.1716356724500656]","[4.8294997215271, 7.412899971008301, 4.230000019073486]",,,snowplow,beginner,blue
2024-02-24 16:46:57.700,"[6.888041496276856, 5.628030776977539, 2.676717519760132]","[0.5454959869384766, 0.0910129994153976, 0.4909879863262176, 0.6731119751930237, -0.6892915964126587, -0.8637352585792542, -1.6900291442871094]","[-27.0625, -37.5625, 1.5625]","[-0.1978330761194229, 0.0834790989756584, 0.1129402518272399]","[-58.75, -11.875, 58.875]","[0.6254000067710876, 3.3464999198913574, -1.3291999101638794]","[0.2667561173439026, 0.1777617782354354, 0.5226213932037354]","[4.866199970245361, 7.470099925994873, 4.084799766540527]",,,snowplow,beginner,blue
2024-02-24 16:46:57.800,"[4.309266090393066, 8.388468742370605, 4.117366313934326]","[0.5563660264015198, 0.1025530025362968, 0.5002930164337158, 0.655472993850708, -0.7231568098068237, -0.8787959218025208, -1.7594659328460691]","[-25.625, -39.0, 1.4375]","[0.1685988008975982, -0.0975115448236465, 0.4169417023658752]","[-57.3125, -13.3125, 58.75]","[-1.8846999406814573, 2.6877999305725098, -1.7851999998092651]","[0.0436681360006332, 0.1754404902458191, -0.2278178334236145]","[4.757999897003174, 7.52079963684082, 4.119100093841553]",left,STOP,snowplow,beginner,blue
2024-02-24 16:46:57.900,"[4.894380569458008, 11.166250228881836, 3.089812994003296]","[0.5552909970283508, 0.1049169972538948, 0.4902949929237366, 0.6635159850120544, -0.6838946342468262, -0.8743957877159119, -1.723345160484314]","[-27.1875, -37.4375, 2.75]","[-0.5157273411750793, 0.0372802317142486, -0.2735978066921234]","[-58.875, -11.75, 60.0625]","[-2.104399919509888, -0.2083999961614608, -1.8181999921798704]","[-0.2818706631660461, -0.3324154019355774, -0.3883706629276275]","[4.830699920654297, 7.504499912261963, 4.063899993896484]",right,START,snowplow,beginner,blue
2024-02-24 16:46:58.000,"[5.310598373413086, 5.95334529876709, 3.222001791000366]","[0.5383219718933105, 0.0966100022196769, 0.4845669865608215, 0.6826930046081543, -0.6509681344032288, -0.8720287680625916, -1.6473416090011597]","[-27.4375, -36.8125, 2.8125]","[-0.2606823742389679, -0.2772979140281677, -0.316323459148407]","[-59.125, -11.125, 60.125]","[3.493499994277954, -1.3666999340057373, -0.5385000109672546]","[-0.2354623675346374, -0.4384267032146454, 0.236719012260437]","[5.02839994430542, 7.495899677276611, 3.8334999084472656]",,,snowplow,beginner,blue
2024-02-24 16:46:58.100,"[2.5035016536712646, 5.663120269775391, 4.074050426483154]","[0.5190330147743225, 0.093359000980854, 0.501209020614624, 0.6860589981079102, -0.6849064826965332, -0.9021002650260924, -1.6373196840286257]","[-28.125, -37.0, 2.4375]","[0.2785545587539673, -0.5945464372634888, -0.0350636653602123]","[-59.8125, -11.3125, 59.75]","[-2.0023000240325928, 1.194700002670288, -2.435999870300293]","[0.306410014629364, -0.9400168657302856, -0.0884881913661956]","[4.777599811553955, 7.660699844360352, 3.828499794006348]",,,snowplow,beginner,blue
2024-02-24 16:46:58.200,"[7.639476299285889, 8.330567359924316, 6.446780681610107]","[0.5054429769515991, 0.069081999361515, 0.5172989964485168, 0.6871359944343567, -0.7545378804206848, -0.8958549499511719, -1.6447080373764038]","[-27.75, -37.6875, 0.1875]","[-0.522586464881897, 0.0643502920866012, 0.590916097164154]","[-59.4375, -12.0, 57.5]","[-1.1268999576568604, 3.5277998447418213, -1.3777999877929688]","[-0.1714087873697281, -0.1442863643169403, 0.29708993434906]","[4.5493998527526855, 7.651700019836426, 4.1138997077941895]",,,snowplow,beginner,blue
2024-02-24 16:46:58.300,"[3.0983364582061768, 8.780657768249512, 3.245560884475708]","[0.4919129908084869, 0.0714059993624687, 0.5335270166397095, 0.6843029856681824, -0.7932676076889038, -0.928027868270874, -1.659765601158142]","[-25.1875, -38.5, 1.125]","[0.4381823539733886, -0.1317549049854278, 0.5987002849578857]","[-56.875, -12.8125, 58.4375]","[-0.8079999685287476, 3.170799970626831, -1.924499988555908]","[0.589258074760437, -0.8437270522117615, 0.9345365166664124]","[4.220699787139893, 7.74399995803833, 4.287899971008301]",,,snowplow,beginner,blue
2024-02-24 16:46:58.400,"[3.140608310699463, 11.273893356323242, 1.7580431699752808]","[0.4894729852676391, 0.0705740004777908, 0.5598269701004028, 0.6648520231246948, -0.8962327241897583, -0.9501320123672484, -1.7540501356124878]","[-23.8125, -39.4375, -0.6875]","[0.055484015494585, 0.1362404078245163, -0.0223751217126846]","[-55.5, -13.75, 56.625]","[0.4754999876022339, 0.7881999611854553, -1.4499999284744265]","[-0.0957313105463981, 0.3012612760066986, 0.1997703909873962]","[3.633399963378906, 7.968999862670898, 4.411600112915039]",,,snowplow,beginner,blue
