time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-02-25 16:11:02.600,"[1.801502704620361, 7.161976337432861, -9.32349967956543]","[-0.5766590237617493, 0.019778000190854, 0.6091520190238953, 0.5440639853477478, 1.2296231985092163, -0.6945308446884155, 2.129362106323242]","[-24.9375, -37.375, 15.8125]","[-1.7010327577590942, -0.3572340011596679, 1.469462513923645]","[-378.5, -50.0, -99.4375]","[-2.040600061416626, 1.372599959373474, -2.9412999153137207]","[-1.6904561519622805, -0.3028320670127868, 1.4054089784622192]","[2.5211000442504883, 6.2764997482299805, -7.100599765777588]",,,snowplow,intermediate,blue,
2024-02-25 16:11:02.700,"[1.3312909603118896, 8.251835823059082, -5.773464202880859]","[-0.6072520017623901, -0.0206700004637241, 0.6157130002975464, 0.5017110109329224, 1.2507895231246948, -0.6983094811439514, 2.2747132778167725]","[-21.4375, -38.6875, 17.125]","[-0.2057045102119445, -0.7222870588302612, 0.9432108402252196]","[-374.75, -51.1875, -97.5]","[1.118499994277954, 2.6484999656677246, 2.638399839401245]","[-0.3157998621463775, -0.6768561601638794, 1.109942078590393]","[2.362799882888794, 6.3048996925354, -7.129799842834473]",,,snowplow,intermediate,blue,
2024-02-25 16:11:02.800,"[4.13203763961792, 8.786834716796875, -6.712268829345703]","[-0.614853024482727, -0.0521779991686344, 0.6277750134468079, 0.4744789898395538, 1.292581558227539, -0.7206799387931824, 2.3809800148010254]","[-18.8125, -40.9375, 17.0625]","[-0.1073028445243835, -0.224065363407135, 0.8086634278297424]","[-372.3125, -53.4375, -97.625]","[0.0160999987274408, 0.2069000005722046, -0.2895999848842621]","[-0.1176351904869079, -0.1654746681451797, 0.856572687625885]","[2.023599863052368, 6.471299648284912, -7.08489990234375]",,,snowplow,intermediate,blue,
2024-02-25 16:11:02.900,"[1.921356439590454, 7.143733024597168, -6.643028736114502]","[-0.6293399930000305, -0.0992180034518241, 0.6291589736938477, 0.4452469944953918, 1.308848261833191, -0.7548040747642517, 2.500605583190918]","[-15.6875, -42.1875, 15.5625]","[0.0696909949183464, -0.8678998947143555, 0.835279643535614]","[-369.0, -54.8125, -99.25]","[-1.378999948501587, 0.2141999900341034, 0.1720999926328659]","[0.0766548588871955, -0.8264308571815491, 0.9328435659408568]","[1.849799990653992, 6.718999862670898, -6.899499893188477]",,,snowplow,intermediate,blue,
2024-02-25 16:11:03.000,"[1.6286509037017822, 6.439818382263184, -5.156832695007324]","[-0.6503170132637024, -0.1348019987344741, 0.6178320050239563, 0.4209490120410919, 1.2884055376052856, -0.7690871953964233, 2.582822322845459]","[-13.5625, -43.1875, 14.4375]","[0.0132470494136214, -0.8965930938720703, 0.5772676467895508]","[-366.75, -55.9375, -100.25]","[-1.2573999166488647, -0.1811999976634979, 0.6087999939918518]","[0.0338244810700416, -0.8564156293869019, 0.627428412437439]","[1.963499903678894, 6.8202996253967285, -6.767399787902832]",,,snowplow,intermediate,blue,
2024-02-25 16:11:03.100,"[1.6692469120025637, 5.953958034515381, -5.368537425994873]","[-0.6713380217552185, -0.1451669931411743, 0.6082220077514648, 0.3978639841079712, 1.2693655490875244, -0.7462518215179443, 2.632874011993408]","[-13.0625, -42.8125, 14.25]","[-0.3621383607387543, -0.4573984444141388, 0.1233947798609733]","[-366.25, -55.625, -100.5]","[1.0396000146865845, 0.2363999933004379, 0.8837999701499939]","[-0.2881014943122864, -0.4958654940128326, 0.1195201501250267]","[2.13759994506836, 6.657599925994873, -6.875699996948242]",,,snowplow,intermediate,blue,"[45.0, 1.5, 14.322626113891602, 8.17300033569336, 2.1461431980133057, 233.1488494873047, 636.0341755989939, 18.8950473, 49.6393468]"
2024-02-25 16:11:03.200,"[3.0126240253448486, 6.585117816925049, -6.055817604064941]","[-0.6937710046768188, -0.1306159943342209, 0.5992270112037659, 0.3775529861450195, 1.2448045015335083, -0.6863463521003723, 2.6467883586883545]","[-13.3125, -42.5625, 16.4375]","[-0.6239551901817322, -0.1823170930147171, -0.0925722643733024]","[-366.125, -55.4375, -98.6875]","[-0.3601999878883362, 1.3854999542236328, 0.7532999515533447]","[-0.6136752367019653, -0.2785021960735321, -0.1040041670203208]","[2.4293999671936035, 6.214599609375, -7.18649959564209]",,,snowplow,intermediate,blue,
2024-02-25 16:11:03.300,"[3.264963388442993, 5.960498809814453, -2.7117302417755127]","[-0.6941360235214233, -0.1197670027613639, 0.6080330014228821, 0.3662320077419281, 1.273302435874939, -0.6581211686134338, 2.6652190685272217]","[-13.375, -41.625, 17.8125]","[0.1095892265439033, -0.0693419277667999, 0.1050862744450569]","[-366.8125, -54.1875, -97.0]","[0.5500999689102173, 0.4251999855041504, -1.3493999242782593]","[-0.273074209690094, 0.168145015835762, 0.0919439420104026]","[2.274099826812744, 5.997999668121338, -7.417599678039551]",,,snowplow,intermediate,blue,
2024-02-25 16:11:03.400,"[0.4773176312446594, 8.343984603881836, -6.968008041381836]","[-0.692520022392273, -0.1237059980630874, 0.6209189891815186, 0.3457910120487213, 1.3201119899749756, -0.6444441676139832, 2.722503423690796]","[-11.625, -41.5625, 19.1875]","[-0.1195725053548812, -0.004084070213139, 0.2993763387203216]","[-364.875, -54.375, -95.6875]","[1.1639000177383425, 1.5713999271392822, 2.004899978637696]","[-0.1791056841611862, -0.0856433063745498, 0.3983190357685089]","[1.944700002670288, 5.891299724578857, -7.594699859619141]",,,snowplow,intermediate,blue,
2024-02-25 16:11:03.500,"[2.355961322784424, 7.388190269470215, -8.196022033691406]","[-0.6880620121955872, -0.1301130056381225, 0.6247869729995728, 0.3453710079193115, 1.3344589471817017, -0.6568410396575928, 2.735692024230957]","[-11.1875, -42.0, 19.25]","[-0.1086991056799888, 0.6071651577949524, 0.4743804931640625]","[-364.75, -54.5, -95.5625]","[-0.1903999894857406, 1.3276000022888184, 0.3030999898910522]","[-0.1344601660966873, 0.4997401237487793, 0.2242922633886337]","[1.818300008773804, 5.988100051879883, -7.55019998550415]",,,snowplow,intermediate,blue,
