time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-25 12:44:36.600,"[2.378112554550171, 5.8245849609375, -3.832437038421631]","[0.0523709990084171, 0.3339889943599701, 0.5546140074729919, 0.7603359818458557, 1.2256685495376587, -1.0724384784698486, 0.6541125178337097]","[15.3125, -40.6875, 19.6875]","[-0.4143062531948089, -0.0839852467179298, 0.0525169558823108]","[-339.625, -55.25, -93.6875]","[0.8657999634742737, -1.670699954032898, 1.2531999349594116]","[-0.4202403724193573, -0.0815941393375396, 0.054384458810091]","[1.5857999324798584, 8.613800048828125, -4.410900115966797]",,
2024-02-25 12:44:36.700,"[0.7867920994758606, 7.255091667175293, -4.324110507965088]","[0.0411910004913806, 0.3418720066547394, 0.5478929877281189, 0.7623900175094604, 1.2355750799179075, -1.042328119277954, 0.6667260527610779]","[15.375, -39.9375, 21.1875]","[-0.4672246277332306, 0.1553692072629928, -0.1889144331216812]","[-339.5, -54.4375, -92.375]","[-0.0379000008106231, -1.8492999076843264, 1.4330999851226809]","[-0.4731413125991821, 0.1577777564525604, -0.187046930193901]","[1.626599907875061, 8.468799591064453, -4.669300079345703]",,
2024-02-25 12:44:36.800,"[2.55074405670166, 8.331390380859375, -6.094804286956787]","[0.0303869992494583, 0.3603290021419525, 0.535260021686554, 0.7633709907531738, 1.258138656616211, -0.9956313371658324, 0.6736341118812561]","[14.875, -39.3125, 21.8125]","[0.1688955128192901, 0.352957934141159, -0.2462136000394821]","[-339.875, -53.5625, -91.25]","[1.9188998937606807, 1.1365000009536743, 0.8883999586105347]","[0.1629788428544998, 0.3553490340709686, -0.2443286478519439]","[1.6407999992370603, 8.228699684143066, -5.075900077819824]",,
2024-02-25 12:44:36.900,"[1.728757381439209, 10.329994201660156, -5.158517837524414]","[0.041848000138998, 0.3652780055999756, 0.5288950204849243, 0.7649109959602356, 1.245255947113037, -0.996707558631897, 0.6355303525924683]","[14.375, -40.0, 21.5625]","[0.280387133359909, -0.0580845586955547, -0.3606548309326172]","[-340.25, -54.125, -91.75]","[0.6699000000953674, 3.1018998622894287, 2.270599842071533]","[0.2744530141353607, -0.0556760020554065, -0.3587698936462402]","[1.7031999826431274, 8.23449993133545, -5.045899868011475]",right,STOP
2024-02-25 12:44:37.000,"[3.095128059387207, 11.138065338134766, -2.968484401702881]","[0.0644579976797103, 0.3538210093975067, 0.5206499695777893, 0.7743239998817444, 1.163445234298706, -1.0196346044540403, 0.5385994911193848]","[12.25, -41.3125, 19.3125]","[0.1863662600517273, -0.331211119890213, -0.2992716133594513]","[-342.3125, -55.6875, -93.9375]","[1.6919000148773191, -0.7149999737739563, -1.9041999578475952]","[0.1804495900869369, -0.3288025856018066, -0.2974041104316711]","[2.0344998836517334, 8.354399681091309, -4.715199947357178]",left,START
2024-02-25 12:44:37.100,"[3.426083564758301, 11.459549903869627, -4.075611114501953]","[0.0742629989981651, 0.3430730104446411, 0.5178639888763428, 0.7801290154457092, 1.1088037490844729, -1.033228635787964, 0.4866353571414947]","[11.75, -41.4375, 18.25]","[0.532220721244812, -0.2435956001281738, 0.0154985236003994]","[-343.0625, -55.9375, -95.0625]","[-0.2866999804973602, -1.5293999910354614, -2.1733999252319336]","[0.5263040065765381, -0.2411870509386062, 0.0173834785819053]","[2.2381999492645264, 8.423399925231934, -4.494999885559082]",,
2024-02-25 12:44:37.200,"[3.782139539718628, 9.493431091308594, -4.066111087799072]","[0.0885659977793693, 0.3289479911327362, 0.518887996673584, 0.784030020236969, 1.0465625524520874, -1.059099197387695, 0.4263502955436706]","[11.25, -42.3125, 17.375]","[0.1273392289876938, -0.0260054059326648, -0.1382300704717636]","[-343.75, -56.75, -96.125]","[-1.059999942779541, -2.803799867630005, -0.471699982881546]","[0.1214225590229034, -0.0235968511551618, -0.1363451182842254]","[2.4034998416900635, 8.55049991607666, -4.1570000648498535]",,
2024-02-25 12:44:37.300,"[1.7881814241409302, 9.169610023498535, -5.800164699554443]","[0.0962829962372779, 0.3280250132083893, 0.514801025390625, 0.7861980199813843, 1.022005319595337, -1.060577154159546, 0.3914814889431]","[11.0625, -42.8125, 16.5625]","[0.1800132542848587, 0.0077492618001997, -0.0598822459578514]","[-343.75, -57.1875, -96.625]","[-0.9193999767303468, 1.57260000705719, -1.552799940109253]","[0.1740965992212295, 0.0101578161120414, -0.0580147430300712]","[2.4982998371124268, 8.557600021362305, -4.085899829864502]",,
2024-02-25 12:44:37.400,"[1.611786127090454, 7.770285606384277, -4.135715484619141]","[0.1025569960474968, 0.324974000453949, 0.5133479833602905, 0.7876200079917908, 0.9988765716552734, -1.0660619735717771, 0.36386439204216]","[10.6875, -43.1875, 16.5625]","[0.0010122909443452, 0.0099309235811233, -0.0271398704499006]","[-344.0625, -57.625, -96.8125]","[-2.3508999347686768, -3.405900001525879, -0.1605999916791916]","[-0.0048869219608604, 0.0123394774273037, -0.0252549145370721]","[2.5665998458862305, 8.583799362182617, -3.987499952316284]",,
2024-02-25 12:44:37.500,"[3.047224998474121, 7.724939346313477, -4.61875057220459]","[0.1030879989266395, 0.3290149867534637, 0.5149099826812744, 0.7848489880561829, 1.0178231000900269, -1.0676881074905396, 0.375916838645935]","[11.75, -42.375, 17.3125]","[-0.2883283793926239, 0.1870992928743362, 0.1090307161211967]","[-343.25, -56.9375, -96.25]","[-1.365299940109253, -1.0893999338150024, -0.1147999987006187]","[-0.2942450642585754, 0.1895078420639038, 0.1108982190489769]","[2.483299970626831, 8.591499328613281, -4.023600101470947]",,
