TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[0.0580833330750465, 11.553412437438965, -7.172645092010498]","[-0.7248889803886414, -0.1264999955892563, 0.5185840129852295, 0.4354340136051178, 0.980253040790558, -0.68802809715271, 2.437481164932251]","[-24.375, -41.0, 10.6875]","[0.505778968334198, -0.4597895443439483, 0.1482482701539993]","[-376.0, -53.5, -104.75]","[-3.5316998958587646, 2.255300045013428, -4.180799961090088]","[0.4810999929904938, -0.364512026309967, 0.4820424914360046]","[4.218100070953369, 6.227299690246582, -6.292599678039551]",,,
"[1.5755763053894043, 7.066342830657959, -4.172317981719971]","[-0.7214400172233582, -0.1528660058975219, 0.5144569873809814, 0.437595009803772, 0.9623095393180848, -0.7353070974349976, 2.4480197429656982]","[-22.0, -41.5, 8.5]","[0.6429793238639832, 0.0709999948740005, -0.0140848066657781]","[-374.5625, -53.75, -107.1875]","[-3.4021999835968018, 0.5018999576568604, -1.1030999422073364]","[0.6895970106124878, -0.0143117001280188, 0.0542622879147529]","[4.157299995422363, 6.578399658203125, -5.967400074005127]",,,
"[1.7519522905349731, 8.01152515411377, -4.699435234069824]","[-0.7051569819450378, -0.1674489974975586, 0.5142170190811157, 0.4585770070552826, 0.942742109298706, -0.7863392233848572, 2.4050638675689697]","[-22.3125, -41.625, 8.1875]","[0.4228583574295044, 0.6240773797035217, -0.2204874455928802]","[-374.75, -54.0625, -107.75]","[-2.334699869155884, -0.0957999974489212, -0.1898999959230423]","[0.384129524230957, 0.5906892418861389, -0.1919164061546325]","[4.070499897003174, 6.940799713134766, -5.6057000160217285]",,,
"[4.632856845855713, 9.287156105041504, -5.218019008636475]","[-0.6814649701118469, -0.1532289981842041, 0.5312319993972778, 0.4794969856739044, 0.9781264662742616, -0.8013394474983215, 2.3587183952331543]","[-22.1875, -42.125, 9.3125]","[0.0789237916469574, 0.796655535697937, 0.2029468864202499]","[-374.6875, -54.25, -106.75]","[-0.3982999920845032, 2.076099872589112, 0.981499969959259]","[0.0218864288181066, 0.9049357771873474, 0.113481305539608]","[3.811100006103516, 7.043999671936035, -5.6591997146606445]",,,
"[1.6214492321014404, 9.201050758361816, -5.014042377471924]","[-0.6584910154342651, -0.1417820006608963, 0.5568730235099792, 0.4859820008277893, 1.0526045560836792, -0.8153781294822693, 2.3616769313812256]","[-21.3125, -42.25, 8.375]","[0.1558229923248291, 0.1745503842830658, 0.1959655731916427]","[-373.6875, -54.6875, -107.25]","[-1.770799994468689, 0.6276999711990356, 1.5550999641418457]","[0.1321563273668289, 0.2483079880475998, 0.13473941385746]","[3.3300998210906982, 7.139099597930908, -5.84060001373291]",left,STOP,"[0.0, 1.5, 18.019227981567383, 10.505000114440918, 0.0575414225459098, 0.0, 634.0011596679688, 18.8950012, 49.6392687]"
"[0.5266956090927124, 9.69979190826416, -4.169387340545654]","[-0.6510699987411499, -0.1503770053386688, 0.5574870109558105, 0.4926469922065735, 1.0476912260055542, -0.8406854867935181, 2.3514647483825684]","[-20.6875, -42.1875, 6.8125]","[0.3872012794017792, -0.3273190557956695, 0.048310711979866]","[-373.1875, -54.625, -108.875]","[-2.375, 0.0577999986708164, -1.698799967765808]","[0.4651826024055481, -0.2880316972732544, 0.1073901057243347]","[3.267400026321411, 7.3069000244140625, -5.665800094604492]",right,START,
"[3.210930824279785, 9.055981636047363, -5.4393486976623535]","[-0.649832010269165, -0.168954998254776, 0.5444329977035522, 0.5027559995651245, 0.9936462640762328, -0.8741816282272339, 2.320847749710083]","[-19.375, -44.125, 5.8125]","[0.0712792500853538, -0.2896024882793426, 0.5479984879493713]","[-371.9375, -56.125, -109.875]","[-0.8245999813079834, 2.0983998775482178, -0.1598999947309494]","[0.0826064348220825, -0.2781356573104858, 0.5603728890419006]","[3.433199882507324, 7.521899700164795, -5.272900104522705]",,,
"[4.793680191040039, 6.339482307434082, -6.880839824676514]","[-0.6498199701309204, -0.1947579979896545, 0.5518869757652283, 0.4849970042705536, 1.033198356628418, -0.9082725644111632, 2.400280714035034]","[-17.0625, -44.375, 6.0]","[-0.1796292811632156, 0.4920606613159179, 0.6855478882789612]","[-369.5625, -56.5, -109.875]","[1.559399962425232, 1.6136999130249023, 3.1903998851776123]","[-0.2762507200241089, 0.3403392136096954, 0.6531370878219604]","[3.0887999534606934, 7.731899738311768, -5.18120002746582]",,,
"[1.216273546218872, 7.651514053344727, -4.094659328460693]","[-0.6381000280380249, -0.2080989927053451, 0.5779029726982117, 0.4642730057239532, 1.1471554040908811, -0.9309464693069458, 2.511131763458252]","[-13.625, -45.4375, 6.75]","[-0.4522322714328766, 0.1689478754997253, 0.5548925399780273]","[-366.1875, -57.5625, -109.3125]","[-0.7202000021934509, -0.9333999752998352, 1.6993999481201172]","[-0.2805965840816498, 0.1876403540372848, 0.5428671836853027]","[2.406899929046631, 7.866699695587158, -5.337599754333496]",,,
"[2.462024688720703, 5.842398166656494, -5.886575698852539]","[-0.6347060203552246, -0.2166479974985122, 0.5951319932937622, 0.4427509903907776, 1.233340620994568, -0.9306462407112122, 2.6073110103607178]","[-12.375, -45.125, 9.3125]","[-0.6333276033401489, -0.3360806107521057, 0.4172035157680511]","[-364.75, -57.4375, -106.625]","[-0.0368000008165836, -0.8335999846458435, 1.7418999671936035]","[-0.6777113676071167, -0.3492578268051147, 0.3615100383758545]","[1.9392999410629272, 7.864999771118164, -5.527199745178223]",,,
