time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-03-20 14:02:57.200,"[0.544154167175293, 9.782421112060549, 3.488840341567993]","[-0.3750399947166443, -0.5596960186958313, 0.4273029863834381, 0.6029059886932373, -1.5473650693893433, -1.2084391117095947, -0.0736734569072723]","[-3.25, -26.875, -35.75]","[-0.7438593506813049, -0.1023461073637008, -0.564945638179779]","[-50.75, -39.0625, 2.5625]","[1.8602999448776243, 0.0188999995589256, 2.29099988937378]","[-0.8569566607475281, -0.2012713700532913, -0.4651826024055481]","[0.0813999995589256, 9.1697998046875, 3.4751999378204346]",right,START
2024-03-20 14:02:57.300,"[-0.7923179268836975, 0.3408098220825195, 3.8109657764434814]","[-0.4060260057449341, -0.5357139706611633, 0.4200949966907501, 0.6096479892730713, -1.3408088684082031, -1.2445366382598877, 0.1407604962587356]","[-5.625, -26.625, -35.8125]","[0.8592081069946289, -0.1071981191635131, -1.1601203680038452]","[-53.125, -38.8125, 2.5]","[-1.961899995803833, -6.092299938201904, -0.6869999766349792]","[0.7805635929107666, 0.2959729433059692, -1.1954807043075562]","[0.7163999676704407, 9.289299964904783, 3.0601999759674072]",,
2024-03-20 14:02:57.400,"[-14.142261505126951, 35.831573486328125, -10.01411247253418]","[-0.4032799899578094, -0.5341460108757019, 0.371616005897522, 0.643392026424408, -1.194435477256775, -1.140903353691101, 0.2969259917736053]","[-6.8125, -23.6875, -37.75]","[2.3335225582122803, 0.4227710962295532, -1.803117156028748]","[-54.3125, -35.875, 0.5625]","[14.63949966430664, 23.37889862060547, -0.7511000037193298]","[1.2469505071640017, 0.3063401877880096, -1.6536470651626587]","[1.5020999908447266, 8.914299964904785, 3.800999879837036]",,
2024-03-20 14:02:57.500,"[6.175172805786133, 10.86868953704834, -0.343998908996582]","[-0.4030230045318603, -0.5269889831542969, 0.3239530026912689, 0.6744679808616638, -1.0898736715316772, -1.0387468338012695, 0.4099983274936676]","[-7.8125, -22.5, -38.4375]","[1.1010758876800537, 1.0822088718414309, 0.3350857496261596]","[-55.3125, -34.6875, -0.125]","[10.182499885559082, -6.342599868774414, 0.0317999981343746]","[0.3302686512470245, 0.3407580852508545, 2.066557168960572]","[2.301300048828125, 8.451000213623047, 4.4105000495910645]",,
2024-03-20 14:02:57.600,"[3.268238544464112, 8.690272331237793, 2.4057321548461914]","[-0.407831996679306, -0.5110669732093811, 0.3249320089817047, 0.6833009719848633, -1.019546389579773, -1.03705894947052, 0.4585979282855987]","[-10.9375, -20.25, -38.5]","[0.5812819004058838, -0.3099006712436676, -0.3252421021461487]","[-58.4375, -32.4375, -0.1875]","[-0.9752999544143676, -3.294099807739258, -1.7689999341964722]","[0.0787143483757972, -0.6487737894058228, -0.5900608897209167]","[2.61299991607666, 8.44260025024414, 4.2500996589660645]",,
2024-03-20 14:02:57.700,"[-0.8425482511520386, -0.5467207431793213, 4.5827317237854]","[-0.4326590001583099, -0.4906669855117798, 0.2815659940242767, 0.7019760012626648, -0.8909407258033752, -0.9612155556678772, 0.6167140603065491]","[-14.9375, -18.8125, -38.5625]","[1.0795210599899292, -1.4897258281707764, -0.4280419945716858]","[-62.4375, -31.0, -0.25]","[-7.109099864959717, -9.109299659729004, -1.2573999166488647]","[0.1321912407875061, -0.121858887374401, -1.571738839149475]","[3.5296998023986816, 8.040299415588379, 4.366199970245361]",,
2024-03-20 14:02:57.800,"[4.741659164428711, 5.10342264175415, 5.580376625061035]","[-0.4406499862670898, -0.4968169927597046, 0.2313240021467209, 0.7109770178794861, -0.8993932604789734, -0.8738049268722534, 0.6662569046020508]","[-13.25, -15.125, -39.375]","[-0.4686557948589325, -0.719459593296051, -0.9861459136009216]","[-60.75, -27.3125, -1.0625]","[-6.259799957275391, 5.690000057220459, -0.1136000007390976]","[-0.1133940443396568, -0.4456698298454284, -1.405758023262024]","[3.9159998893737793, 7.519499778747559, 4.928599834442139]",,
2024-03-20 14:02:57.900,"[-1.5872695446014404, 12.795015335083008, 0.9335375428199768]","[-0.4792549908161163, -0.4832459986209869, 0.1890420019626617, 0.7078480124473572, -0.828359842300415, -0.8195255994796753, 0.8129748702049255]","[-12.125, -14.4375, -40.5625]","[0.1661378890275955, -0.4714483320713043, -1.0463947057724]","[-59.625, -26.625, -2.25]","[-0.7597000002861023, 2.541599988937378, -3.4413998126983643]","[0.6276029348373413, -0.7732157707214355, -0.3105464279651642]","[4.525399684906006, 7.166899681091309, 4.931999683380127]",,
2024-03-20 14:02:58.000,"[-0.828930139541626, 8.008566856384277, 2.933500528335572]","[-0.4914230108261108, -0.494841992855072, 0.1421180069446563, 0.7024499773979187, -0.8687393069267273, -0.755997896194458, 0.8565360903739929]","[-10.8125, -12.625, -40.875]","[-0.4025252759456634, -0.2723062634468078, -0.5043303370475769]","[-58.3125, -24.8125, -2.5625]","[-2.3914999961853027, -0.9611999988555908, -1.1131999492645264]","[-0.2353925555944442, -0.4095240533351898, -0.2382025420665741]","[4.607800006866455, 6.727499961853027, 5.447799682617188]",,
2024-03-20 14:02:58.100,"[2.5632994174957275, 12.527506828308104, 5.048020839691162]","[-0.4941869974136352, -0.5133140087127686, 0.124340996146202, 0.6905249953269958, -0.9244797825813292, -0.7464914321899414, 0.8569409847259521]","[-9.1875, -12.625, -41.1875]","[-0.2106786966323852, 0.4606796503067016, 0.0322536826133728]","[-56.6875, -24.8125, -2.875]","[-2.92330002784729, 6.2754998207092285, 1.4609999656677246]","[-0.222232773900032, -0.1395914256572723, 0.069010317325592]","[4.335400104522705, 6.659299850463867, 5.746799945831299]",,
2024-03-20 14:02:58.200,"[1.2838572263717651, 10.29800796508789, -1.602573275566101]","[-0.5142139792442322, -0.504522979259491, 0.1194059997797012, 0.683214008808136, -0.8863148093223572, -0.7505282759666443, 0.920688271522522]","[-8.8125, -14.75, -40.6875]","[-0.982393443584442, -1.270093560218811, -1.420820236206055]","[-56.3125, -26.9375, -2.375]","[-0.817799985408783, 6.844699859619141, -7.576499938964844]","[-0.9866520762443542, -1.056011438369751, -1.4330898523330688]","[4.5345001220703125, 6.688299655914307, 5.556299686431885]",,
