time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-03-20 15:04:53.600,"[-5.577828884124756, -4.317147731781006, 11.716283798217772]","[-0.5201039910316467, -0.5736749768257141, 0.0980350002646446, 0.625120997428894, -1.0879062414169312, -0.8028067946434021, 0.8853299021720886]","[2.8125, -14.0, -41.1875]","[-0.4350756704807281, -1.5656126737594604, -1.2011181116104126]","[-44.625, -27.75, -4.0]","[-7.752799987792969, -6.053699970245361, -3.523099899291992]","[0.5027246475219727, -2.0498716831207275, -2.1756751537323]","[3.163300037384033, 7.053999900817871, 6.033599853515625]",,,carving_short,intermediate,blue,
2024-03-20 15:04:53.700,"[-11.104987144470217, 10.713210105895996, 5.144737243652344]","[-0.537326991558075, -0.5757020115852356, 0.0486040003597736, 0.6143959760665894, -1.101284384727478, -0.745589017868042, 0.9658414125442504]","[2.125, -14.5625, -41.625]","[-0.487261027097702, -1.301579236984253, -1.5253653526306152]","[-45.3125, -28.3125, -4.4375]","[-3.828499794006348, 32.0734977722168, -25.548099517822266]","[1.0299361944198608, -0.1272519528865814, -1.0069153308868408]","[3.25979995727539, 6.652899742126465, 6.425099849700928]",,,carving_short,intermediate,blue,
2024-03-20 15:04:53.800,"[-3.838393688201904, 15.558844566345217, 7.921857833862305]","[-0.5736780166625977, -0.5622000098228455, 0.0262809991836547, 0.5950909852981567, -1.0500506162643433, -0.7427588701248169, 1.0904030799865725]","[2.9375, -16.0, -40.9375]","[-0.2556034624576568, 0.4380427300930023, -0.4842067062854767]","[-44.5, -29.75, -3.75]","[-8.958099365234375, 14.716599464416504, -7.335000038146973]","[0.24073326587677, 0.63477623462677, -0.2945068478584289]","[3.593899965286255, 6.632400035858154, 6.26609992980957]",,,carving_short,intermediate,blue,
2024-03-20 15:04:53.900,"[4.86911678314209, 8.542856216430664, -0.4315021932125091]","[-0.5666760206222534, -0.5656489729881287, 0.0258990004658699, 0.598537027835846, -1.065034031867981, -0.7370175123214722, 1.068621039390564]","[2.1875, -17.5625, -40.125]","[0.5072101354598999, -0.5170537829399109, 0.0400203987956047]","[-45.25, -31.3125, -2.9375]","[-14.697599411010742, 4.745500087738037, -9.618000030517578]","[0.3156951665878296, -0.6805038452148438, -1.2201945781707764]","[3.5179998874664307, 6.590799808502197, 6.352399826049805]",,,carving_short,intermediate,blue,
2024-03-20 15:04:54.000,"[-4.966110706329346, 48.6889533996582, 26.67068862915039]","[-0.5844209790229797, -0.5726760029792786, 0.001300000003539, 0.574882984161377, -1.0883092880249023, -0.7353711724281311, 1.1292564868927002]","[4.4375, -15.625, -41.375]","[-0.2180788964033126, -0.4379380047321319, -0.6341304779052734]","[-43.0, -29.375, -4.1875]","[-6.894799709320068, 25.890798568725582, -12.434100151062012]","[0.452755868434906, 3.4025890827178955, 0.1586155146360397]","[3.374199867248535, 6.57889986038208, 6.44219970703125]",,,carving_short,intermediate,blue,
2024-03-20 15:04:54.100,"[34.972633361816406, 17.679311752319336, -18.466726303100582]","[-0.594743013381958, -0.5457329750061035, 0.036455001682043, 0.5891730189323425, -0.9806111454963684, -0.764392077922821, 1.1574902534484863]","[1.3125, -21.125, -38.75]","[2.000112295150757, -2.7921950817108154, 1.2459381818771362]","[-46.125, -34.875, -1.5625]","[-11.186299324035645, -5.384799957275391, -12.24549961090088]","[-0.8997172117233276, -1.3141107559204102, -0.4564385116100311]","[3.939199924468994, 6.787099838256836, 5.88100004196167]",,,carving_short,intermediate,blue,"[45.0, 1.5, 38.28737258911133, 17.22800064086914, 13.285689353942873, 4.410099029541016, 2367.433142581024, 6.6395443, 44.6009664]"
2024-03-20 15:04:54.200,"[-21.93538856506348, -2.166503667831421, 4.991527557373047]","[-0.5758569836616516, -0.5881540179252625, -0.0101389996707439, 0.567766010761261, -1.1453157663345337, -0.7286620736122131, 1.1027649641036987]","[3.1875, -18.0625, -39.8125]","[-1.9289203882217407, -0.7784342765808105, -3.941599130630493]","[-44.25, -31.8125, -2.625]","[-16.651100158691406, -1.6952999830245972, 10.085599899291992]","[-1.937001347541809, 2.387697696685791, -1.7396045923233032]","[3.0197999477386475, 6.529899597167969, 6.664000034332275]",,,carving_short,intermediate,blue,
2024-03-20 15:04:54.300,"[-16.990318298339844, 8.038895606994629, 20.468929290771484]","[-0.6330749988555908, -0.5630210041999817, -0.0174569990485906, 0.5309590101242065, -1.0382243394851685, -0.7674900889396667, 1.2923256158828735]","[7.25, -19.5625, -38.5625]","[-1.2049055099487305, 2.539907932281494, -1.0057284832000732]","[-40.1875, -33.3125, -1.375]","[-16.96940040588379, 46.48019790649414, 10.169599533081056]","[0.0481187291443347, 0.2210808545351028, -0.3580193817615509]","[3.5832998752593994, 6.809000015258789, 6.079899787902832]",,,carving_short,intermediate,blue,
2024-03-20 15:04:54.400,"[-11.619779586791992, 16.143844604492188, 8.713410377502441]","[-0.651757001876831, -0.5525059700012207, -0.0186439994722604, 0.5192310214042664, -0.9943732619285583, -0.7765718698501587, 1.35931658744812]","[5.5625, -23.4375, -36.75]","[-0.55880206823349, -1.294231414794922, -1.8482513427734373]","[-41.875, -37.1875, 0.4375]","[-11.079299926757812, 25.36149978637696, -16.31879997253418]","[-0.4133812189102173, -1.2258319854736328, -1.4448184967041016]","[3.812599897384644, 6.872799873352051, 5.864899635314941]",,,carving_short,intermediate,blue,
2024-03-20 15:04:54.500,"[-11.4443998336792, 7.888789176940918, 3.2502052783966064]","[-0.6713529825210571, -0.5598959922790527, -0.0396189987659454, 0.4839729964733124, -1.0147050619125366, -0.7943762540817261, 1.4341832399368286]","[5.4375, -25.1875, -35.9375]","[-0.465549111366272, 0.2551496922969818, -0.4172384142875671]","[-42.0, -38.9375, 1.25]","[-1.9013999700546265, 12.283499717712402, -5.669600009918213]","[-0.5837602615356445, -0.3475299477577209, 0.0183783173561096]","[3.627399921417236, 6.996299743652344, 5.836400032043457]",,,carving_short,intermediate,blue,
